gene
A1BG
ACMSD
ADAMTS20
ALAS1
ANK2
ANXA1
ARHGAP27
ASH1L
BAG3
BAP1
BARX1
BCKDK
BICD1
BIN3
BMP4
BORCS7
BST1
CA8
CACNA1B
CAMK2D
CARS2
CCDC62
CCDC82
CCNT2
CD38
CERS6
CFAP20DC
CLEC19A
CNKSR3
CNNM2
COL13A1
COL5A2
COQ7
CRHR1
CTNND1
CTSB
CYP17A1
CYP1B1
DCUN1D1
DDRGK1
DGKQ
DLG2
DMRT2
DNAH1
DPH6
DYRK1A
ELOVL7
FAM171A1
FAM200B
FAM47E
FGF10
FGF20
FNDC3B
FYN
GAK
GALC
GCH1
GPNMB
GPR65
GPRIN3
H2BC13
HASPIN
HIP1R
HLA-DQA1
HLA-DQB1
HLA-DRA
HLA-DRB1
HLA-DRB5
HSD17B1
HYCC1
IGSF11
IGSF9B
IL1R2
INO80C
INPP5F
ISM1
ITGA8
ITIH3
ITIH4
ITPKB
KANSL1
KAT8
KLHL7
LAMP3
LDLRAD4
LRRC37A3
LRRK2
LSM7
MANEA
MAPT
MCCC1
MDGA2
MED12L
MICU3
MMRN1
MRPS30
MUC12
MYLK2
NAA11
NCKIPSD
NDUFAF2
NGEF
NISCH
NSF
NUCKS1
NUP42
OGFOD2
OR9Q1
PAQR3
PARP9
PDE10A
PDLIM2
PHF7
PKP2
PLEKHM1
PLEKHN1
PM20D1
PRAG1
PRDM15
PRDM2
PRICKLE1
PRSS53
PTPDC1
RAB25
RAB29
RAI1
REDIC1
RERE
RIT2
SATB1
SCARB2
SCN3A
SEMA5A
SETD1A
SFXN2
SH3GL2
SIPA1L2
SLC2A13
SLC39A8
SLC41A1
SLC45A3
SMARCA2
SNCA
SORBS3
SPPL2B
SPPL2C
SPTSSB
SREBF1
STAB1
STAP1
STBD1
STH
STK39
STX1B
SV2C
SYT10
SYT11
SYT17
SYT4
TAS1R2
TBC1D5
TEKT4
TIAL1
TLR9
TMC3
TMEM163
TMEM175
TMEM229B
TOX3
TPM1
TRPM2
TSHZ2
UNC13B
USP25
VPS13C
WDR41
WNT3
WNT9A
ZDHHC2
ZFP64
ZNF184
ZNF396
ZNF608
ZNF646
