gene
ABCA1
ABCA8
ABCC10
ABCG5
ABCG8
ABHD2
ABO
ABTB3
ACAD10
ACTL7B
ACTR2
ACTRT2
ADAMTS3
ADAMTS7
ADAMTSL4
ADCY3
ADGRL3
ADORA2A
AGT
AHDC1
AIDA
AKAP12
AKAP13
ALDH2
AMT
ANGPTL4
ANKRD13B
ANKRD31
ANKRD6
ANKS1A
ANP32B
AP1M1
APOA1
APOA4
APOA5
APOB
APOC1
APOE
APOH
ARHGAP15
ARHGAP20
ARHGAP26
ARHGAP42
ARHGEF12
ARHGEF26
ARID4A
ARL15
AS3MT
ASZ1
ATF3
ATF6B
ATP1B1
ATP2B1
ATXN2
B4GALNT2
B9D2
BCAP29
BCAR1
BCAS3
BDNF
BET1L
BLM
BLTP3A
BMAL1
BMP1
BMPR1B
BSN
BSND
BUD13
C1GALT1
C1S
C2
C5
CABIN1
CALCRL
CAPN9
CARF
CARMIL1
CASTOR1
CCDC92
CCDC97
CCM2
CCNL1
CCT6A
CD109
CD300LF
CDC123
CDC25A
CDH13
CDH17
CDKN1A
CDKN2A
CDKN2B
CELSR2
CENPO
CENPW
CEP120
CETP
CFAP161
CFB
CFDP1
CHRNB4
CKB
CLCN6
CLOCK
CNNM2
CNPY4
COL4A1
COL4A2
COL4A4
COL6A3
COPRS
COPS8
CORO6
CSNK1G2
CTAGE1
CTSS
CUX2
CWF19L2
CXCL12
CXCL8
CYP17A1
CYP2A13
CYP2B6
CYP46A1
DAB1
DAB2IP
DAGLB
DCLK2
DCLRE1B
DDX41
DDX59
DENND5A
DHX38
DHX58
DNAH10
DNAJC13
DOCK5
DOCK6
DOK3
DOK7
DPYD
DSTN
DUS4L
DYM
DYNC2H1
DYNC2LI1
EDN1
EDNRA
EFCAB13
EFHD1
EHBP1
EHBP1L1
EIF2B2
ELL
EML1
EPOR
ETV1
EXOC3L2
EXOC6
FAM89B
FAP
FARP1
FBF1
FBXL20
FCHO1
FDX1
FES
FGD5
FGD6
FGF1
FGF5
FGFR2
FHL3
FHL5
FIGN
FKBP5
FLT1
FN1
FNDC1
FNDC3B
FOXA3
FOXC1
FOXL1
FURIN
GALNT2
GDPD5
GEM
GFOD1
GGCX
GGT7
GIGYF2
GIP
GMDS
GOSR2
GPR149
GRB14
GUCY1A1
GUCY1B1
GUK1
HDAC9
HDGFL1
HERPUD1
HGFAC
HHIPL1
HIVEP2
HMGCR
HNF1A
HNRNPD
HNRNPM
HOXC4
HPR
HSD17B12
HSF2BP
HSPB9
HTRA1
IBTK
IFI35
IFIH1
IFT140
IGF2BP2
IGF2R
IL1F10
IL6R
ILRUN
IRX1
ITGA1
ITGB5
ITPKA
JCAD
KANK2
KAT2A
KCNAB1
KCNE2
KCNH7
KCNJ13
KCNK5
KCTD10
KIAA1217
KLF2
KLF4
KLHL29
KSR2
LDAH
LDLR
LDLRAD2
LINGO4
LIPA
LIPG
LMOD1
LOX
LOXL1
LPA
LPL
LRATD2
LRP1
LRRC10B
LYRM2
MAD1L1
MAD2L1
MAP1S
MAP3K1
MAP3K11
MAP3K7CL
MAP9
MARCHF1
MARK3
MAST4
MAT2A
MBLAC1
MBTD1
MC4R
MCF2L
MCL1
MDN1
MERTK
MFGE8
MIA3
MICB
MITF
MMP24
MMP9
MORF4L1
MORN1
MPHOSPH10
MRAS
MREG
MRPL14
MRTFA
MSL2
MTHFR
MUC22
MYH11
MYO9B
N4BP2L2
NAT2
NBEAL1
NCALD
NCOA6
NDUFA12
NEDD9
NEK9
NELFE
NFIB
NGF
NME7
NOA1
NOS3
NPC1
NR2C1
NRP1
NRSN1
NT5C2
OIT3
OR52E4
OSM
OSR1
PALLD
PARP1
PARP12
PBX2
PCCB
PCIF1
PCNX3
PCSK9
PDE5A
PDGFD
PDLIM5
PDLIM7
PDS5B
PECAM1
PEMT
PGPEP1
PHACTR1
PHB1
PID1
PKD1L3
PKD2L1
PKN2
PLCB2
PLCE1
PLCG2
PLCL1
PLEKHA7
PLEKHG1
PLEKHH2
PLG
PLPP3
PMAIP1
POLR2B
PPFIA1
PPHLN1
PRAM1
PRDM16
PRDM6
PRDM8
PREX1
PRIM2
PRKAR1A
PRKCE
PRKD2
PRKG1
PROCR
PSD3
PSRC1
PTK7
QRICH1
R3HDM2
RAB37
RAB5C
RAC1
RAI1
RASD1
RASGEF1B
RASSF10
RBPMS2
RDX
REST
RGL3
RGS12
RGS19
RHOA
RND2
RNF213
RPH3A
RRBP1
RRP1B
RSBN1
RTF1
SAYSD1
SCAF11
SCARB1
SCML4
SELENOI
SEMA5A
SERPINA1
SERPINA2
SERPINH1
SETD9
SF3A3
SFT2D3
SFTPC
SH2B3
SH2D6
SHOC1
SHROOM3
SIPA1
SIRT3
SKI
SKIC2
SLC22A3
SLC22A4
SLC25A21
SLC2A12
SLC5A3
SLC9A8
SMAD3
SMAD7
SMAD9
SMARCA4
SMG6
SMUG1
SORBS2
SORT1
SOX6
SPATA2
SPC24
SPECC1L
SPINK2
SPRED2
SRFBP1
ST3GAL4
STAG1
STN1
STOML1
SUSD2
