gene
ABCA7
ACER3
ALCAM
ANKRD31
ANTXR1
AP2A2
API5
APOC1
APOE
APP
ARRDC4
BANK1
BCAM
BCL3
BIN1
BMPER
C1S
CD2AP
CD33
CELF1
CHRNE
CLEC3B
CLU
CNTNAP2
COBL
CR1
DISC1
ECHDC3
EDEM1
EFL1
EPHA1
EPOP
EXOC3L2
FAM47E
FANCD2
FANCD2OS
FBXL13
FRMD4A
GPC6
HBEGF
HLA-DRB5
HS3ST1
IGF1R
IL34
KBTBD8
KLHL4
LHX1
MAP4K4
MAPK7
MAPT
MEF2C
MMP12
MMP3
MRPL39
MS4A2
MS4A3
MS4A4E
MS4A6A
MSRA
MSX2
MTSS2
MYO16
NALF1
NDUFAF6
NDUFAF7
NECTIN2
NME8
NSG2
NTM
OR2B2
PAX2
PAX5
PCDH11X
PCED1B
PFDN1
PICALM
PIK3C2G
PLCG2
POLN
PPP1R3B
PRKD3
PTK2B
PVR
RBFOX1
RELN
RFC3
RIN3
SASH1
SCIMP
SFSWAP
SFT2D2
SIPA1L2
SLC4A1AP
SMIM45
SORL1
STK24
STK32B
SYK
TNXB
TOMM40
TP53INP1
TREM2
TRH
TRIM56
TSPAN14
TSPOAP1
TTLL7
USP6NL
VRK3
WDR70
ZCWPW1
ZNF224
