rank,gene,score
320,CPAMD8,0.08282852835125387
321,SLC6A11,0.08275933563709259
322,HILPDA,0.08269372582435608
323,CACHD1,0.08262076377868655
324,GULP1,0.08255652732969748
325,MED12L,0.08246166911554631
326,STK32B,0.08232585340738297
327,MEGF11,0.0816753586133322
328,THEMIS,0.081625385640415
329,GADD45G,0.08148524165153503
330,ADRA1A,0.08144605159759521
331,CSGALNACT1,0.0812790215015411
332,PCLO,0.08116671904117845
333,PTPRC,0.08092594891786575
334,UNC5D,0.08018282688680883
335,DCLK1,0.08004051740075047
336,LPIN1,0.07969698011875154
337,ALPK1,0.07961958646774292
338,FLRT2,0.07926618989837664
339,HLA-DRB1,0.07915921012560534
340,RIPOR2,0.07882144537177821
341,ADCY8,0.07841162454514278
342,ATP2B2,0.07831284974256869
343,SLC11A1,0.07825941017695837
344,MCC,0.07822270226943029
345,PCDH7,0.07799161909834329
346,SAMD5,0.07764945427576697
347,TM6SF1,0.07741546630859375
348,TMEM178A,0.07736997519220623
349,CD53,0.07720814897463868
350,TRHDE,0.07685825616493153
351,RIMS2,0.07682449867328012
352,CPNE8,0.07672175632582767
353,ANLN,0.07663895562291145
354,FAR2,0.07643376172090277
355,NEK10,0.07611158780323773
356,BRINP1,0.07560730973879498
357,GABBR2,0.07536358891667183
358,CD36,0.07521438899619115
359,EYA2,0.07479557494322453
360,NDRG4,0.07472371564261493
361,SELENOP,0.07468402619455378
362,CCK,0.07466570926564081
363,ARL15,0.07440275379589623
364,DUSP1,0.07421275476614636
365,LRMDA,0.0741084506114324
366,TMEM132C,0.07388680428266525
367,PDZRN4,0.07376314103603365
368,TNFAIP3,0.07326734066009521
369,FCGBP,0.07240671786835517
370,SYK,0.072303906083107
371,SYT4,0.0722792329220856
372,GRID2,0.07203135639429092
373,UNC80,0.07195182765523589
374,KCNJ3,0.07160751734461102
375,ACSBG1,0.07143845895739875
376,RNF150,0.0712159293038504
377,TRDN,0.07112198472023012
378,MRC1,0.07099204758803052
379,LRFN2,0.07087646637644085
380,VWC2L,0.07075806707143784
381,CDH10,0.07069707896028243
382,LRAT,0.07066362812405536
383,LRRIQ1,0.07057278975844383
384,VIM,0.07056842744350433
385,SLC2A3,0.07030292810537869
386,TLR2,0.07014811038970947
387,GLI3,0.06997782674301356
388,STXBP5L,0.06968357102545031
389,PAM,0.06951739397141832
390,ADCY1,0.06949600030577952
391,OLR1,0.06928727279106772
392,TGFBR1,0.06906997561454775
393,SUGCT,0.06904332221500453
394,BRINP3,0.06899600103497505
395,COL24A1,0.06891627609729767
396,CNBD1,0.06890566171281343
397,CTSB,0.06856778305437827
398,DDAH1,0.06849789321422578
399,AEBP1,0.06838931441307072
400,ETNPPL,0.06832568475178308
401,RPH3A,0.06793599923451743
402,GCNT2,0.06763966878255212
403,WLS,0.06754068334897362
404,PTPRG,0.06738364238005423
405,TBC1D9,0.0670196543137232
406,LYN,0.06672780215740204
407,GRIN2B,0.06665078018392834
408,NRG3,0.06649378792353705
409,FAP,0.06617355825645588
410,COL21A1,0.06613788390860831
411,SYT1,0.06606737025799714
412,ABCA9,0.06602415808954754
413,ZIC1,0.0658944174462453
414,PLAGL1,0.06578402111540627
415,STK32A,0.06566526989142102
416,CEND1,0.06544129091959727
417,COL25A1,0.06541574072270173
418,MPPED2,0.06517451538502173
419,ID2,0.06514107427754251
420,ABCB1,0.06511018425226212
421,TGFB2,0.06482158601284027
422,ZBTB7C,0.06476285195711895
423,SLC24A4,0.06449604561980471
424,SRGAP2,0.06410111274038044
425,DGKB,0.06386995306829124
426,PEA15,0.06386772087878656
427,NHSL1,0.06362234055995941
428,PELI1,0.06354786487552977
429,LYPD6,0.063339182581657
430,NOX4,0.06315208673378625
431,MND1,0.06310275388069642
432,AFF3,0.0630768512686094
433,CYFIP1,0.06307250261306763
434,PACRG,0.06297017848104003
435,GINS3,0.06282346397638316
436,RALYL,0.06264402109141254
437,ADAMTS17,0.06240650063835529
438,CACNA1B,0.06233641919605237
439,HDAC9,0.062188537170489666
440,EEF1A2,0.06201144847541279
441,NTN1,0.0619381263852119
442,PDE3A,0.061556773526327935
443,CD74,0.061297347562931814
444,SHISA6,0.06127539267269022
445,AGBL4,0.06119375947922001
446,AMPH,0.06112705615850589
447,GABRB2,0.06071091827118036
448,KCNJ6,0.06055734488678621
449,CP,0.06042589247226715
450,IGFBP7,0.060266710560897274
451,SLC2A5,0.06010093788305915
452,DDR2,0.059974803872730464
453,GALNT15,0.05981810853368974
454,MYO1F,0.05962941712803316
455,APBB1IP,0.05936045946979662
456,GPNMB,0.05915574381748834
457,TGFBR2,0.05909201931772812
458,SMIM35,0.0589110367000103
459,RIN3,0.05866275131702425
460,SYTL3,0.05849486376558033
461,SLC4A4,0.05846317620067809
462,CD84,0.05835266783833504
463,MAN2A1,0.05833047007520997
464,KCNK1,0.058177728205919266
465,ABI3BP,0.05808979372183476
466,PLEK,0.05786473751068116
467,SV2A,0.057810788429700444
468,ADGRA3,0.057806811038998596
469,GRAMD1C,0.05776820128614252
470,STMN2,0.05774059218767025
471,THSD7A,0.0576453334335828
472,SORBS1,0.057451341345778895
473,VCAN,0.05735267151860479
474,VSNL1,0.057345397574336876
475,RFX4,0.057258507243974965
476,PTPRN,0.05717391331369681
477,CALB2,0.05714923278851941
478,IGSF21,0.05692255186537898
479,UST,0.056739185537610703
480,TMEM178B,0.05667705241050658
481,SORBS2,0.05642543055794458
482,BMPER,0.05630106906096133
483,PLOD2,0.055603690445423126
484,SAMD4A,0.05532676608134535
485,SPON1,0.055299719174703
486,NPAS2,0.05513538420200348
487,CX3CR1,0.055107122659683205
488,SLA,0.0547114759683609
489,CALY,0.054682634162327104
490,TAGLN3,0.05459102168025676
491,PLXNA2,0.05449404940009117
492,CHST9,0.05445554326708896
493,ARHGEF4,0.05426790937781334
494,CR1,0.054266867472937186
495,AGTR1,0.05417969822883606
496,NCAN,0.054117485880851746
497,RGS4,0.053765846292177844
498,TRPM3,0.0536699779436034
499,ATRNL1,0.05365872383117676
500,ZNF804B,0.053566128875200514
501,DOCK2,0.05354083307123414
502,DHCR24,0.0534337829645119
503,DACH1,0.05338571353091137
504,CACNA1D,0.053300673380876185
505,RUNX1,0.0532911366224289
506,SCCPDH,0.05318598449230194
507,ABCC4,0.05311047590914231
508,NTNG1,0.05306578874588014
509,RANBP17,0.05304510278899677
510,RYR3,0.05285600779785049
511,FAM20A,0.052788022728193384
512,SEZ6L,0.052489314337863635
513,CD44,0.05193273510251728
514,SNAP25,0.0517883757288361
515,ROR2,0.051571923379714724
516,RAB3A,0.05137945604961669
