rank,gene,attention_score,predicted_attention,residual_attention,residual_zscore,expression_mean,expression_variance,dropout_rate
728,FTH1,0.00297967749122674,0.009475025090781412,-0.006495347599554672,-0.130719964568378,2.400054915635499,3.710532025338529,0.36597232780903144
372,ROBO2,0.016769752764183687,0.009387788476689713,0.007381964287493974,0.14856327476183132,2.1048721950406764,3.5860895175041483,0.4273985099589479
196,NRXN1,0.025276848011257624,0.00934939353583971,0.015927454475417914,0.32054270426325254,2.2659662751990366,3.6086712724013017,0.3925802037403071
205,KCND3,0.024750558558905844,0.009323856567740377,0.015426701991165467,0.31046497616699253,2.171904908943329,3.6041540874157842,0.41447468450661396
748,GRIN1,0.0018915630884794865,0.009305942510191251,-0.007414379421711765,-0.1492156347982243,2.1455831487833716,3.483842734201393,0.4128021894480767
99,SYT4,0.03611179470197212,0.00930528686743589,0.026806507834536232,0.5394854856686604,2.1152526129901603,3.601075227182557,0.42770259996959104
472,CNTNAP2,0.012496487802416856,0.009296331586227932,0.0032001562161889235,0.0644036829102372,1.9739339187391054,3.527949007483823,0.45552683594343923
702,FTL,0.003935029461840545,0.009255036551308785,-0.00532000708946824,-0.10706603881930628,2.5180467375644997,3.7585095902198686,0.3465105671278699
689,TUBB2B,0.0045107626264302425,0.009248970215934238,-0.0047382075895039955,-0.09535722587965079,1.9936865180607373,3.4795802687668034,0.4486848107039684
328,CPLX2,0.018010362010143277,0.009247464227836788,0.008762897782306489,0.17635479396021178,1.9921797759209778,3.559737006444995,0.4544625209061882
849,RGS4,-0.006288145495541464,0.009233279356341106,-0.01552142485188257,-0.3123712896947868,2.121375799824285,3.6475661816585454,0.4308955450813441
311,SNX10,0.018623633633741088,0.00923275774193285,0.009390875891808238,0.18899295919549708,2.2009565241895683,3.5178960760371947,0.40383153413410366
492,RET,0.011737857940532781,0.009229485142431337,0.0025083727981014443,0.050481425091797025,2.1051130107708342,3.550152554931639,0.4281587349855557
658,KIF5A,0.005687398494014617,0.009218763916481264,-0.0035313654224666466,-0.07106932397805545,2.249603322500584,3.501761417411526,0.3918199787136992
770,CADM3,0.0002359719041908348,0.009213510479804995,-0.00897753857561416,-0.18067447608130918,2.0099135010137603,3.425019697974143,0.441994830469819
499,SULT4A1,0.01148086263745296,0.00919599641641395,0.00228486622103901,0.0459833175792131,1.9911316561612118,3.398335638291112,0.44488368557092894
