cell_type,disease,distance,ontology,method,scope,n_genes,n_annotated,n_ref_genes,mean,median,std,max,skew,p10,p25,p75,p90,p95,bestmatch_mean,bestmatch_median,bestmatch_max
da_neurons,parkinson,lin,BP,all_methods,all,60,58,184,0.16667460315107394,0.14672056740579098,0.13413194736717324,0.7867142145261345,0.804742827856939,0.0,0.05119809490414196,0.25038880378434036,0.35430786012643034,0.4186573293125785,0.5496216875442899,0.5653072516775575,0.7867142145261345
da_neurons,parkinson,lin,BP,all_methods,annotated,58,58,184,0.17242200325973162,0.1531088507049832,0.13274333675951822,0.7867142145261345,0.7971810984024784,0.0161463887159688,0.06230193676867751,0.2544011004244857,0.35923575276515396,0.4219231176415806,0.5685741595285757,0.5669445944944689,0.7867142145261345
microglia,parkinson,lin,BP,attention_zero_shot,all,30,27,184,0.15048803611227943,0.12639292719866763,0.13491399883408123,0.8821827324081406,1.022469417268709,0.0,0.035779903298101746,0.228871512709133,0.33667910337793183,0.41375860677375653,0.5300815427621688,0.5681248311235091,0.8821827324081406
microglia,parkinson,lin,BP,attention_zero_shot,annotated,27,27,184,0.1672089290136438,0.14423168698288108,0.13201638259714585,0.8821827324081406,0.9951141413055309,0.020770347696194676,0.05853714845420397,0.24272997312318537,0.3481421998891322,0.422968773900636,0.5889794919579653,0.5704281211471934,0.8821827324081406
microglia,parkinson,lin,BP,ig_lora,all,30,28,184,0.15930155425039072,0.14101405185203797,0.12940791744005556,1.0,0.8647628678830966,0.0,0.04840742999252942,0.23962548110039844,0.3334384694723487,0.3973493675887227,0.5369818828894123,0.5612442261210007,1.0
microglia,parkinson,lin,BP,ig_lora,annotated,28,28,184,0.1706802366968472,0.15294011566413457,0.12649294431394506,1.0,0.8641506143665675,0.020702918230339807,0.07003399908034702,0.2482405409575289,0.3408405770693199,0.4015936747885998,0.5753377316672276,0.5659131933700795,1.0
microglia,parkinson,lin,BP,all_methods,all,60,55,184,0.15489479518133506,0.1334699794409693,0.13226306216884615,1.0,0.9434172349069954,0.0,0.041201739320500363,0.23475409865940913,0.33550088256498034,0.4042958921158328,0.5335317128257906,0.5653081376400493,1.0
microglia,parkinson,lin,BP,all_methods,annotated,55,55,184,0.16897614019782006,0.14861382505885706,0.12924560366881724,1.0,0.9313025841028375,0.02072944472491206,0.0646896614610467,0.2457767080262746,0.3439286225328021,0.4121866774597526,0.5820345958099533,0.5681443089697494,1.0
oligodendrocytes,parkinson,lin,BP,attention_zero_shot,all,30,26,184,0.1453694261043873,0.11859644594525187,0.13748465491977588,1.0,1.11065726363607,0.0,0.027486846362172922,0.22742767717935702,0.33601752215070235,0.40622911928551514,0.5377477921080097,0.5625404802376274,1.0
oligodendrocytes,parkinson,lin,BP,attention_zero_shot,annotated,26,26,184,0.16773395319736997,0.14414988667526143,0.13438282801445228,1.0,1.0631996858481678,0.01944912564426236,0.05818122893560637,0.24553202264566776,0.3496722883298053,0.4204178215553585,0.6204782216630882,0.5751641299672978,1.0
oligodendrocytes,parkinson,lin,BP,ig_lora,all,30,29,184,0.17276708107580818,0.1543741057555764,0.1319630913246186,0.7742078475829408,0.7442721477717704,0.010685993573146368,0.06654028843477146,0.25376031179213876,0.35559236394773924,0.41994957599753086,0.5362124705577229,0.5681129388811484,0.7742078475829408
oligodendrocytes,parkinson,lin,BP,ig_lora,annotated,29,29,184,0.17872456663014638,0.16072629852793086,0.13019216598939026,0.7742078475829408,0.7449922267047336,0.020468961378178333,0.07593980414709761,0.2589360643258016,0.3597248102731154,0.42286841982612355,0.5547025557493686,0.5682815806381949,0.7742078475829408
oligodendrocytes,parkinson,lin,BP,all_methods,all,60,55,184,0.15906825359009774,0.13748187756244185,0.13544667504100275,1.0,0.9126269225911487,0.0,0.042074414893411446,0.2410199500189145,0.3467363323987181,0.413756817986973,0.5369801313328664,0.567944297124102,1.0
oligodendrocytes,parkinson,lin,BP,all_methods,annotated,55,55,184,0.17352900391647028,0.15323613346899728,0.13230359912500622,1.0,0.8970373900729974,0.019903755978591207,0.06692832962858437,0.25174195967945046,0.3547851743143672,0.42186511091909934,0.5857965069085815,0.574574526581681,1.0
astrocytes,parkinson,SimRel,BP,attention_zero_shot,all,30,27,184,0.11965497173399967,0.08637806148802649,0.12628854129057668,0.9802026286966047,1.2528036953172823,0.0,0.00703675566573267,0.18861471035325178,0.29624053962437236,0.3736233025235124,0.4999590577000399,0.5295908554206068,0.9802026286966047
astrocytes,parkinson,SimRel,BP,attention_zero_shot,annotated,27,27,184,0.13294996859333294,0.10488777828993778,0.12630643155918928,0.9802026286966047,1.1689324056870196,0.002838378681390259,0.023330462845964243,0.20272655588209476,0.3089792005000103,0.3841534581340469,0.5555100641111554,0.5462250223285625,0.9802026286966047
astrocytes,parkinson,SimRel,BP,ig_lora,all,30,28,184,0.1270730946631527,0.09561042215743858,0.12243248700174549,0.9861993428258489,1.1351750917995975,0.0,0.022134523035981714,0.19801721867559646,0.30002775732557474,0.3693331663752951,0.49725890611648454,0.524836029566391,0.9861993428258489
astrocytes,parkinson,SimRel,BP,ig_lora,annotated,28,28,184,0.13614974428194931,0.10840004477129359,0.12175641337111935,0.9861993428258489,1.0937753137601827,0.004525999868086623,0.03702798186422986,0.20833246741036304,0.30855326823312723,0.37420019230963913,0.5327773994105192,0.5284169680623728,0.9861993428258489
astrocytes,parkinson,SimRel,BP,all_methods,all,60,55,184,0.12336403319857617,0.09054698553176785,0.12443075144157548,0.9861993428258489,1.1927895366816885,0.0,0.009592736949191567,0.1929200673240688,0.29856001298598456,0.37133553138049163,0.49860898190826214,0.5284169680623728,0.9861993428258489
astrocytes,parkinson,SimRel,BP,all_methods,annotated,55,55,184,0.13457894530753764,0.10654225424266085,0.12402123768826971,0.9861993428258489,1.1316073832961253,0.0037272194706308953,0.031095145077964743,0.20565824030548852,0.3087757449963135,0.37755403054224806,0.5439370711726497,0.5296809825081801,0.9861993428258489
da_neurons,parkinson,SimRel,BP,attention_zero_shot,all,30,29,184,0.13893486016780554,0.10996644896761913,0.12973006018649094,0.7657228769266734,1.0455093954425454,0.0,0.026440469189154554,0.21493598869248443,0.32725185888502484,0.39762796788907295,0.5418066686420773,0.5363923251951341,0.7657228769266734
da_neurons,parkinson,SimRel,BP,attention_zero_shot,annotated,29,29,184,0.14372571741497125,0.11500500367484479,0.1293122581367249,0.7657228769266734,1.0236494520061974,0.0041142009339486495,0.03475364238582896,0.21929525432153582,0.33073926645562735,0.39979319242333566,0.5604896572159419,0.5381412043135451,0.7657228769266734
da_neurons,parkinson,SimRel,BP,ig_lora,all,30,29,184,0.12693478972971348,0.10093764182331777,0.11921733390678943,0.7146368956333466,1.0855245182809283,0.0015592462103532594,0.0218820021721814,0.19616826312409624,0.2925654039701404,0.3580020422507925,0.49802402484002406,0.5117011235840676,0.7146368956333466
