cell_type,method,gene,ontology,annotated
da_neurons,attention_zero_shot,ARMC3,MF,False
da_neurons,attention_zero_shot,SNCAIP,MF,True
da_neurons,attention_zero_shot,THEMIS,MF,True
da_neurons,attention_zero_shot,TBXAS1,MF,True
da_neurons,ig_lora,ETNPPL,MF,True
da_neurons,ig_lora,CD163,MF,True
da_neurons,ig_lora,ANGPTL4,MF,True
da_neurons,ig_lora,PLEK,MF,True
da_neurons,ig_lora,IL1B,MF,True
da_neurons,ig_lora,SRGN,MF,True
da_neurons,ig_lora,GALNT15,MF,True
da_neurons,ig_lora,ID3,MF,True
da_neurons,ig_lora,GLDN,MF,True
da_neurons,ig_lora,SPOCD1,MF,True
da_neurons,ig_lora,MS4A4A,MF,True
da_neurons,ig_lora,GADD45G,MF,True
da_neurons,ig_lora,OLR1,MF,True
da_neurons,ig_lora,PPP1R3C,MF,True
da_neurons,ig_lora,ADM,MF,True
da_neurons,ig_lora,CLEC5A,MF,True
da_neurons,ig_lora,HES1,MF,True
da_neurons,ig_lora,ID2,MF,True
da_neurons,ig_lora,TYK2,MF,True
da_neurons,ig_lora,MND1,MF,True
da_neurons,ig_lora,CCL3,MF,True
da_neurons,ig_lora,OPALIN,MF,False
da_neurons,ig_lora,SVEP1,MF,True
da_neurons,ig_lora,DUSP1,MF,True
da_neurons,ig_lora,AHCYL1,MF,True
da_neurons,ig_lora,COL27A1,MF,True
da_neurons,ig_lora,CH25H,MF,True
da_neurons,ig_lora,SERPINE1,MF,True
da_neurons,ig_lora,PPP1R14A,MF,True
da_neurons,ig_lora,CLEC7A,MF,True
microglia,attention_zero_shot,GEM,MF,True
microglia,attention_zero_shot,LAMA4,MF,True
microglia,attention_zero_shot,SLCO1C1,MF,True
microglia,attention_zero_shot,CH25H,MF,True
microglia,attention_zero_shot,SPOCD1,MF,True
microglia,attention_zero_shot,IGFBP7,MF,True
microglia,attention_zero_shot,C1orf87,MF,False
microglia,attention_zero_shot,NXPH1,MF,True
microglia,attention_zero_shot,CD83,MF,True
microglia,attention_zero_shot,ARHGAP28,MF,True
microglia,attention_zero_shot,RGS6,MF,True
microglia,attention_zero_shot,IL1B,MF,True
microglia,attention_zero_shot,TMC1,MF,True
microglia,attention_zero_shot,VCAN,MF,True
microglia,attention_zero_shot,SLC24A3,MF,True
microglia,attention_zero_shot,DEPDC1B,MF,True
microglia,attention_zero_shot,ANGPTL4,MF,True
microglia,attention_zero_shot,PPARGC1A,MF,True
microglia,attention_zero_shot,SEL1L3,MF,False
microglia,attention_zero_shot,FRMPD2,MF,True
microglia,attention_zero_shot,SERPINI2,MF,True
microglia,attention_zero_shot,PAK5,MF,True
microglia,attention_zero_shot,CCDC85A,MF,True
microglia,attention_zero_shot,EMP1,MF,True
microglia,attention_zero_shot,ALDH1L1,MF,True
microglia,attention_zero_shot,EYA1,MF,True
microglia,attention_zero_shot,LAMA1,MF,True
microglia,attention_zero_shot,TNFAIP3,MF,True
microglia,attention_zero_shot,ANGPT1,MF,True
microglia,attention_zero_shot,GALNT15,MF,True
microglia,ig_lora,MS4A4A,MF,True
microglia,ig_lora,GLDN,MF,True
microglia,ig_lora,CD163,MF,True
microglia,ig_lora,SPOCD1,MF,True
microglia,ig_lora,CHI3L1,MF,True
microglia,ig_lora,SVEP1,MF,True
microglia,ig_lora,COL21A1,MF,True
microglia,ig_lora,SLC7A11,MF,True
microglia,ig_lora,COL27A1,MF,True
microglia,ig_lora,GAP43,MF,True
microglia,ig_lora,OLR1,MF,True
microglia,ig_lora,SLC2A3,MF,True
microglia,ig_lora,SV2C,MF,True
microglia,ig_lora,SERPINE1,MF,True
microglia,ig_lora,ETNPPL,MF,True
microglia,ig_lora,SLC39A12,MF,True
microglia,ig_lora,ATP6V0D2,MF,True
microglia,ig_lora,APOE,MF,True
microglia,ig_lora,SNCG,MF,True
microglia,ig_lora,CD83,MF,True
microglia,ig_lora,APOC1,MF,True
microglia,ig_lora,AQP4,MF,True
microglia,ig_lora,TPD52L1,MF,True
microglia,ig_lora,ID2,MF,True
microglia,ig_lora,TNFRSF11B,MF,True
microglia,ig_lora,SPP1,MF,True
microglia,ig_lora,SLC11A1,MF,True
microglia,ig_lora,VGF,MF,True
microglia,ig_lora,GPAT3,MF,True
microglia,ig_lora,RANBP3L,MF,True
oligodendrocytes,attention_zero_shot,CCL4,MF,True
oligodendrocytes,attention_zero_shot,ITGA4,MF,True
oligodendrocytes,attention_zero_shot,MARCO,MF,True
oligodendrocytes,attention_zero_shot,FGL1,MF,True
oligodendrocytes,attention_zero_shot,CCL3,MF,True
oligodendrocytes,attention_zero_shot,F5,MF,True
oligodendrocytes,attention_zero_shot,HES1,MF,True
oligodendrocytes,attention_zero_shot,SLC16A10,MF,True
oligodendrocytes,attention_zero_shot,RBMS3,MF,True
oligodendrocytes,attention_zero_shot,BICC1,MF,True
oligodendrocytes,attention_zero_shot,NRP1,MF,True
oligodendrocytes,attention_zero_shot,ACSBG1,MF,True
oligodendrocytes,attention_zero_shot,SYT1,MF,True
oligodendrocytes,attention_zero_shot,CENPF,MF,True
oligodendrocytes,attention_zero_shot,CD69,MF,True
oligodendrocytes,attention_zero_shot,KCNJ3,MF,True
oligodendrocytes,attention_zero_shot,CALY,MF,True
oligodendrocytes,attention_zero_shot,KCNQ5,MF,True
oligodendrocytes,attention_zero_shot,STMN2,MF,True
oligodendrocytes,attention_zero_shot,VAV3,MF,True
oligodendrocytes,attention_zero_shot,NRG3,MF,True
oligodendrocytes,attention_zero_shot,RGS1,MF,True
oligodendrocytes,attention_zero_shot,THSD7B,MF,True
oligodendrocytes,attention_zero_shot,GABRB2,MF,True
oligodendrocytes,attention_zero_shot,NRG1,MF,True
oligodendrocytes,attention_zero_shot,STAB1,MF,True
oligodendrocytes,attention_zero_shot,GAP43,MF,True
oligodendrocytes,attention_zero_shot,ELAVL2,MF,True
oligodendrocytes,attention_zero_shot,LRRC3B,MF,True
oligodendrocytes,attention_zero_shot,SAMD5,MF,False
oligodendrocytes,ig_lora,CD163,MF,True
oligodendrocytes,ig_lora,ID2,MF,True
oligodendrocytes,ig_lora,HES1,MF,True
oligodendrocytes,ig_lora,MS4A4A,MF,True
oligodendrocytes,ig_lora,PPP1R3C,MF,True
oligodendrocytes,ig_lora,NR4A3,MF,True
oligodendrocytes,ig_lora,ETNPPL,MF,True
oligodendrocytes,ig_lora,ID3,MF,True
oligodendrocytes,ig_lora,ANGPTL4,MF,True
oligodendrocytes,ig_lora,DUSP1,MF,True
oligodendrocytes,ig_lora,PLEK,MF,True
oligodendrocytes,ig_lora,ADM,MF,True
oligodendrocytes,ig_lora,SERPINE1,MF,True
oligodendrocytes,ig_lora,GADD45G,MF,True
oligodendrocytes,ig_lora,SRGN,MF,True
oligodendrocytes,ig_lora,CH25H,MF,True
oligodendrocytes,ig_lora,ATP6V0D2,MF,True
oligodendrocytes,ig_lora,SVEP1,MF,True
oligodendrocytes,ig_lora,AHCYL1,MF,True
oligodendrocytes,ig_lora,SLC2A3,MF,True
oligodendrocytes,ig_lora,HBB,MF,True
oligodendrocytes,ig_lora,TYK2,MF,True
oligodendrocytes,ig_lora,IL1B,MF,True
oligodendrocytes,ig_lora,OLR1,MF,True
oligodendrocytes,ig_lora,OPALIN,MF,False
oligodendrocytes,ig_lora,CCL3,MF,True
oligodendrocytes,ig_lora,SELENOP,MF,True
oligodendrocytes,ig_lora,LIPG,MF,True
oligodendrocytes,ig_lora,PLAC8,MF,True
oligodendrocytes,ig_lora,CD69,MF,True
