rank,gene,score
173,C2CD6,0.1624395102262497
174,KCNAB1,0.1593346893787384
175,MGST1,0.15865136682987213
176,LGI1,0.15815983712673187
177,EPSTI1,0.15765899419784546
178,TMTC1,0.15577218102084267
179,TNFRSF1B,0.15526535700667987
180,RERGL,0.1549899081389109
181,UST,0.15403147041797638
182,SNED1,0.1538921122749647
183,S100Z,0.153681218624115
184,LCP2,0.1527544458707174
185,RGS1,0.15259694059689843
186,RTTN,0.1525911880390985
187,B3GNT5,0.1521807312965393
188,LAPTM5,0.1521142919858297
189,HES1,0.1471691330273946
190,APOD,0.14576302468776703
191,ABCA6,0.14525678952534998
192,ARHGEF4,0.14305377213491333
193,F13A1,0.14043977856636047
194,KBTBD12,0.14026609063148499
195,EDNRB,0.13863512873649597
196,CD53,0.1380281845728557
197,SLC25A18,0.13713987171649933
198,TNR,0.13628914952278137
199,MS4A6A,0.1354809800783794
200,ATP8B4,0.1350555462496621
201,SDK1,0.1344041178623835
202,PID1,0.13416776061058044
203,FLI1,0.13362275063991547
204,EBF1,0.13254602998495102
205,IFI44L,0.13202477494875592
206,PELI1,0.13197630842526753
207,NTRK3,0.13149519477571758
208,HAPLN2,0.13127705454826355
209,ACSS3,0.13117992877960205
210,SLC4A4,0.1308275123005328
211,ALDH1L1,0.13057264112509215
212,GABRB2,0.12869112690289813
213,ZNF804A,0.12850993871688843
214,LRRC63,0.12842556834220886
215,CR1,0.12682468692461651
216,PCED1B,0.12667233745257056
217,SEL1L3,0.12617486715316772
218,EGLN3,0.1255984902381897
219,LIPG,0.12448349595069885
220,ZNRF3,0.1242397278547287
221,NRG1,0.12402456998825073
222,GFAP,0.12392834058174718
223,DDAH1,0.12294063452086423
224,CEBPD,0.12271197523389543
225,CD36,0.1219630241394043
226,DPP10,0.12194964289665222
227,RYR3,0.11965785622596736
228,COL4A2,0.11937938481569288
229,STK32A,0.11842027306556702
230,CSF1R,0.11724094549814862
231,SAMSN1,0.11701779812574387
232,TIMP3,0.11663489043712616
