rank,gene,attention_score,predicted_attention,residual_attention,residual_zscore,expression_mean,expression_variance,dropout_rate
8,ANKRD22,0.060125607252121016,0.006299973413440069,0.05382563383868095,2.9838817195614618,0.0015110518812125814,0.004549852068150557,0.9994065868855702
359,CCL3,0.011039699117342594,0.006297682515991469,0.004742016601351125,0.2628787743222113,0.0018138880894108206,0.005265559337389011,0.9993076846998319
1000,IL1B,-0.1352394209021614,0.006296729941612123,-0.14153615084377352,-7.846208266224458,0.0023770034657874337,0.006066860463532246,0.999010978142617
73,MARCO,0.027994117140769936,0.006294187723261634,0.021699929417508302,1.2029588522587065,0.0023099963304074617,0.006557306656509333,0.9991098803283552
999,CCL4,-0.10751357376575471,0.0062908256095503025,-0.11380439937530501,-6.308868891714034,0.002448617438487408,0.00745556778540187,0.9991098803283552
14,MS4A4E,0.05556806921958923,0.006290349714753261,0.049277719504835976,2.7317632125400104,0.003303781471712464,0.008581415296063941,0.9986153693996638
447,HTR7,0.008261478372982523,0.006290297171224323,0.0019711812017581994,0.10927454326868767,0.003483419658230691,0.008771065207066272,0.9985164672139254
972,IRF8,-0.025219229360421536,0.006283749631981627,-0.03150297899240316,-1.7464014155205003,0.004629103744512544,0.011425523393008768,0.9980219562852339
53,CENPF,0.03245848483509495,0.006279795658451238,0.026178689176643708,1.4512437012889048,0.004599089634509625,0.01234254295968085,0.9981208584709722
278,ADGRG6,0.013497279749976276,0.0062792941258997086,0.007217985624076568,0.40013677164098393,0.005439701593492259,0.013511582661475969,0.9976263475422806
424,FPR3,0.009045703336596489,0.006274723485943769,0.00277097985065272,0.1536122388528926,0.005277804337810893,0.014370800287817575,0.9978241519137573
936,LYZ,-0.0161108369865115,0.006274051982278168,-0.02238488896878967,-1.240930319345058,0.0043212423158075445,0.013308917345069378,0.9984175650281871
830,IGF1,-0.0076679451657193365,0.006270710574275971,-0.013938655739995308,-0.7727043249037135,0.0068440445811098465,0.01689203952546173,0.9970329344278509
5,ITGA4,0.07093656123286551,0.006270445788766376,0.06466611544409914,3.584835439690331,0.005191562881002349,0.01494748226102693,0.9980219562852339
392,FREM2,0.009769915170918853,0.0062701467478336395,0.003499768423085213,0.19401341471687017,0.006183791387108948,0.016278793764978056,0.9974285431708041
951,CLEC5A,-0.018546934769703705,0.006268683510418587,-0.02481561828012229,-1.3756804047602227,0.008239891376004565,0.01908880788632014,0.9962417169419444
85,SIGLEC1,0.026299965074833676,0.006267796930063878,0.020032168144769796,1.1105047180587897,0.008895092284801677,0.020240557540234638,0.9958461081989912
