rank,gene,score
168,FRMPD2,0.5463483333587646
169,TNFRSF11B,0.5446403324604034
170,TENM3,0.5412793159484863
171,LRFN2,0.541189968585968
172,ATP6V0D2,0.5405611991882324
173,YAP1,0.5403094291687012
174,CACNA1C,0.5398922463258108
175,SLC6A11,0.5358776648839315
176,CPAMD8,0.5341750979423523
177,ETNPPL,0.5314575433731079
178,AGMO,0.5311224460601807
179,EBF1,0.5302881300449371
180,MT1G,0.5301293730735779
181,CCDC148,0.5291042476892471
182,SV2A,0.5286324272553126
183,ACSBG1,0.5273016691207886
184,TTC29,0.526129961013794
185,COL24A1,0.5260204076766968
186,GRIP1,0.5251363098621369
187,SPAG17,0.5242382287979126
188,IQCA1,0.5238941833376884
189,THSD7B,0.5224359631538391
190,LAMA1,0.5223941206932068
191,FREM2,0.5205554962158203
192,GUCY1A2,0.5202922224998474
193,RGMA,0.5196374654769897
194,VCAN,0.5189391300082207
195,CNTNAP3B,0.5185360908508301
196,CACNB4,0.5158728957176208
197,TRPC4,0.5158045887947083
198,CACHD1,0.5149106383323669
199,LGR6,0.5121402740478516
200,RORB,0.5118562919752938
201,ANGPTL4,0.5113964974880219
202,NKX6-2,0.5089972913265228
203,PKIA,0.5087475538253784
204,ITGBL1,0.5086584389209747
205,DACH1,0.5083626508712769
206,GFRA1,0.5071548819541931
207,TMC1,0.504601240158081
208,CHGB,0.4974810481071472
209,CALB2,0.4963991641998291
210,RASL12,0.49584487080574036
211,RFX4,0.4950884059071541
212,ANKRD22,0.49491916596889496
213,ACHE,0.4945286214351654
214,ABCC3,0.4924105405807495
215,ALDH1L1,0.4921834468841553
216,EFEMP1,0.4913433939218521
217,F3,0.4873521476984024
218,DLK1,0.48463451862335205
219,CPA6,0.4814142048358917
220,SLCO1C1,0.47804054617881775
221,ARHGAP42,0.47561929374933243
222,PARD3,0.4738912582397461
223,NECAB1,0.47332875430583954
224,GJA1,0.47044141803468975
225,TMEM59L,0.46828359365463257
226,MARCKSL1,0.46621279045939445
227,CNTNAP4,0.4624999761581421
228,SULF1,0.46233445405960083
229,DPYSL3,0.4602808356285095
230,CTXND1,0.45749157667160034
231,AEBP1,0.4557887464761734
232,DKK3,0.44570596516132355
233,LRP2,0.4432602822780609
234,TSHZ3,0.44189685583114624
235,RHOJ,0.43984469771385193
236,LRRTM4,0.4306591798861822
237,RIPOR2,0.43027254939079285
238,LMNTD1,0.4272572994232178
239,PHF21B,0.42052208781242373
240,PRRX1,0.4108544588088989
241,LDB2,0.40062326192855835
242,OPCML,0.40051286667585373
243,GLI3,0.3899501363436381
244,C8orf34,0.3511568605899811
245,LYVE1,0.33473382393519086
246,PDE7B,0.32262907425562537
247,VAV3,0.3104105144739151
248,ADAMTSL3,0.3082939734061559
249,CD83,0.29818481802940366
250,SLC25A21,0.2934473901987076
251,NR4A3,0.2844619154930115
252,BAALC,0.28336721658706665
253,COL18A1,0.2793736457824707
254,COL25A1,0.2784498085578283
255,KHDRBS2,0.2731693387031555
256,TPRG1,0.26506137251853945
257,GPC6,0.26498492807149887
258,FGF14,0.2642580538988113
259,KCNQ5,0.2625686824321747
260,TMEM132C,0.2612839937210083
261,NPNT,0.25438228249549866
262,AKAP12,0.2506793439388275
263,MYLK,0.24974454641342164
264,ARHGAP20,0.24385919173558557
265,SV2B,0.23877692222595215
266,PLCE1,0.23808378974596656
267,PALLD,0.22686246782541275
268,FAM107A,0.2219376266002655
269,PLOD2,0.21434847513834637
270,EPHA3,0.21017664670944214
271,RAB3C,0.20235262562831247
272,ID2,0.20094406604766846
273,RCAN2,0.19770793616771698
274,COL8A1,0.1922980099916458
275,TRHDE,0.187755286693573
276,IL1B,0.18695110082626343
277,CD44,0.18679829314351082
278,MOBP,0.18068097035090125
279,EMP1,0.1792998959620794
280,LMO3,0.1773873269557953
281,BICC1,0.17557851473490393
282,AGPAT4,0.1735453963279724
283,ADGRA3,0.17346566702638355
284,THEMIS,0.16966122388839722
285,ALDH1A2,0.16894671519597365
286,SLC5A11,0.16792666912078857
287,TSHZ2,0.16647413869698846
288,AGTR1,0.16565461456775665
289,SOX5,0.16426236501761843
290,KCNN3,0.1642480909824371
291,AQP4,0.16172445813814795
292,UGT8,0.16153116524219513
293,BACE2,0.1549828052520752
294,SERPINE1,0.15473649899164837
295,KCNK12,0.154717355966568
296,EPHA6,0.15415295958518982
297,RBMS3,0.1525055468082428
298,S100A1,0.1506311371922493
299,TAC1,0.14907890558242798
300,CH25H,0.14878550171852112
301,PPARGC1A,0.14766211062669754
302,DHCR24,0.14595356583595276
303,COL4A2,0.14571524659792578
304,SNX10,0.1448267251253128
305,CARMIL1,0.14401735663414006
306,ZNF804A,0.14201002528792933
307,FSTL5,0.14088129401206972
308,PTCHD4,0.13966565827528632
309,PAMR1,0.138575534025828
310,ADRA1A,0.13841506838798523
311,RNF19A,0.13832008764147757
312,SLC39A12,0.1366272164242608
313,SPON1,0.136015626291434
314,TMEM178B,0.1344434519608816
315,KCND3,0.1337111194928487
316,SLC2A3,0.1299545006318526
317,PAK5,0.12966972589492798
318,TUBA4A,0.12827872236569726
319,ABCA6,0.12783980593085287
320,STMN2,0.1277075390021007
321,KLF12,0.1268642283976078
322,SLC25A18,0.1260603964328766
323,ADAMTS17,0.12539728134870531
324,GRIN2A,0.12504595518112183
325,NAMPT,0.12394717967871466
326,RGS20,0.12364529818296432
327,SYT1,0.12287678321202594
328,RNF152,0.12266602473599575
329,SEMA5A,0.1226558079408282
330,CHST9,0.12212370832761132
331,GABRB1,0.1219264219204585
332,SEMA3D,0.11996576189994812
333,LRRC3B,0.11839572588602698
334,ARHGEF4,0.11578041315078735
335,KIF26B,0.11569932103157043
336,LRRIQ1,0.11362561583518982
337,CADPS2,0.11357286324103677
338,PCSK5,0.11226239548279693
339,UNC80,0.11213236302137375
340,PID1,0.11206983774900436
341,TUBB2B,0.1107483059167862
342,NXPH1,0.11058716007641378
343,PLAC8,0.10913142561912537
344,CACNA1A,0.10831652841333184
345,NEK10,0.10774254934354266
346,FOS,0.10701568987634447
347,BASP1,0.10638798879725597
348,TMEM108,0.10438740253448486
349,TPST1,0.10430198758840559
350,SLC11A1,0.10406171293421224
351,RIMS2,0.10387484729290009
352,EYA2,0.10321997318949017
353,CHODL,0.10277326688880017
354,SCD,0.10272074395265335
355,OSBPL3,0.10253377235852756
356,STPG2,0.10226426245989623
357,LDHA,0.10162758628527324
358,KCNJ6,0.10146045684814453
359,VSNL1,0.10104091962178546
