reference,method,cell_type,go_source,distance,similarity
alzheimer,attention_zero_shot,microglia,GO:BP,lin,0.46373579737117065
alzheimer,attention_zero_shot,oligodendrocytes,GO:BP,lin,0.46418599731533117
alzheimer,ig_lora,astrocytes,GO:BP,lin,0.426421302190699
alzheimer,ig_lora,da_neurons,GO:BP,lin,0.4602119936567038
alzheimer,ig_lora,microglia,GO:BP,lin,0.43685368960019055
alzheimer,ig_lora,oligodendrocytes,GO:BP,lin,0.4334708251341599
alzheimer,attention_zero_shot,astrocytes,GO:BP,SimRel,0.4099225771426853
alzheimer,attention_zero_shot,da_neurons,GO:BP,SimRel,0.41283106387446306
alzheimer,attention_zero_shot,microglia,GO:BP,SimRel,0.42426661926136094
alzheimer,attention_zero_shot,oligodendrocytes,GO:BP,SimRel,0.4310744734251229
alzheimer,ig_lora,astrocytes,GO:BP,SimRel,0.39030969013240296
alzheimer,ig_lora,da_neurons,GO:BP,SimRel,0.42475112097233475
alzheimer,ig_lora,microglia,GO:BP,SimRel,0.4021515971370665
alzheimer,ig_lora,oligodendrocytes,GO:BP,SimRel,0.3991056426487791
alzheimer,attention_zero_shot,astrocytes,GO:BP,wang,0.39151786342012385
alzheimer,attention_zero_shot,da_neurons,GO:BP,wang,0.39090272728492087
alzheimer,attention_zero_shot,microglia,GO:BP,wang,0.4114189133950199
alzheimer,attention_zero_shot,oligodendrocytes,GO:BP,wang,0.40419023554619893
alzheimer,ig_lora,astrocytes,GO:BP,wang,0.37321029250711396
alzheimer,ig_lora,da_neurons,GO:BP,wang,0.4180685875557721
alzheimer,ig_lora,microglia,GO:BP,wang,0.3766165237172176
alzheimer,ig_lora,oligodendrocytes,GO:BP,wang,0.3824610444829357
alzheimer,attention_zero_shot,astrocytes,GO:CC,lin,0.7621329519028556
alzheimer,attention_zero_shot,da_neurons,GO:CC,lin,0.7454809696147748
alzheimer,attention_zero_shot,microglia,GO:CC,lin,0.72646279628565
alzheimer,attention_zero_shot,oligodendrocytes,GO:CC,lin,0.7443666260689132
alzheimer,ig_lora,astrocytes,GO:CC,lin,0.7519512396143898
alzheimer,ig_lora,da_neurons,GO:CC,lin,0.7608750146706167
alzheimer,ig_lora,microglia,GO:CC,lin,0.7521429258943585
alzheimer,ig_lora,oligodendrocytes,GO:CC,lin,0.772187857077485
alzheimer,attention_zero_shot,astrocytes,GO:CC,SimRel,0.6389361233416742
alzheimer,attention_zero_shot,da_neurons,GO:CC,SimRel,0.6249875357425376
alzheimer,attention_zero_shot,microglia,GO:CC,SimRel,0.6108072878590163
alzheimer,attention_zero_shot,oligodendrocytes,GO:CC,SimRel,0.628753921995363
alzheimer,ig_lora,astrocytes,GO:CC,SimRel,0.6322433987234509
alzheimer,ig_lora,da_neurons,GO:CC,SimRel,0.6406667547514242
alzheimer,ig_lora,microglia,GO:CC,SimRel,0.636750243838754
alzheimer,ig_lora,oligodendrocytes,GO:CC,SimRel,0.6546160361626421
alzheimer,attention_zero_shot,astrocytes,GO:CC,wang,0.8145602083983944
alzheimer,attention_zero_shot,da_neurons,GO:CC,wang,0.7972590723064207
alzheimer,attention_zero_shot,microglia,GO:CC,wang,0.7689020290931824
alzheimer,attention_zero_shot,oligodendrocytes,GO:CC,wang,0.7945528039756589
alzheimer,ig_lora,astrocytes,GO:CC,wang,0.7986826885696305
alzheimer,ig_lora,da_neurons,GO:CC,wang,0.8121547778193978
alzheimer,ig_lora,microglia,GO:CC,wang,0.8050169401019923
alzheimer,ig_lora,oligodendrocytes,GO:CC,wang,0.817331715327745
alzheimer,attention_zero_shot,astrocytes,GO:MF,lin,0.7688519758685425
alzheimer,attention_zero_shot,da_neurons,GO:MF,lin,0.7975205869464551
alzheimer,attention_zero_shot,microglia,GO:MF,lin,0.8074957262444102
alzheimer,attention_zero_shot,oligodendrocytes,GO:MF,lin,0.7860474718176366
alzheimer,ig_lora,astrocytes,GO:MF,lin,0.8032112988592324
alzheimer,ig_lora,da_neurons,GO:MF,lin,0.8053674331883469
alzheimer,ig_lora,microglia,GO:MF,lin,0.7649287755092806
alzheimer,ig_lora,oligodendrocytes,GO:MF,lin,0.787942875327546
alzheimer,attention_zero_shot,astrocytes,GO:MF,SimRel,0.47923231016303275
alzheimer,attention_zero_shot,da_neurons,GO:MF,SimRel,0.4875643651228927
alzheimer,attention_zero_shot,microglia,GO:MF,SimRel,0.5024566354902488
alzheimer,attention_zero_shot,oligodendrocytes,GO:MF,SimRel,0.4958408437043057
alzheimer,ig_lora,astrocytes,GO:MF,SimRel,0.4962187309696535
alzheimer,ig_lora,da_neurons,GO:MF,SimRel,0.4842536328627202
alzheimer,ig_lora,microglia,GO:MF,SimRel,0.4548202404319746
alzheimer,ig_lora,oligodendrocytes,GO:MF,SimRel,0.4862158804597155
alzheimer,attention_zero_shot,astrocytes,GO:MF,wang,0.7895172986390755
alzheimer,attention_zero_shot,da_neurons,GO:MF,wang,0.8196460611682032
alzheimer,attention_zero_shot,microglia,GO:MF,wang,0.817889993273275
alzheimer,attention_zero_shot,oligodendrocytes,GO:MF,wang,0.7972528199221212
alzheimer,ig_lora,astrocytes,GO:MF,wang,0.8179135874032618
alzheimer,ig_lora,da_neurons,GO:MF,wang,0.8171993619255111
alzheimer,ig_lora,microglia,GO:MF,wang,0.7787610112588328
alzheimer,ig_lora,oligodendrocytes,GO:MF,wang,0.8071502551369213
cad,attention_zero_shot,astrocytes,GO:BP,lin,0.43676232317135294
cad,attention_zero_shot,da_neurons,GO:BP,lin,0.42886247896221896
cad,attention_zero_shot,microglia,GO:BP,lin,0.4385968067376586
cad,attention_zero_shot,oligodendrocytes,GO:BP,lin,0.435383541990106
cad,ig_lora,astrocytes,GO:BP,lin,0.417883916213338
cad,ig_lora,da_neurons,GO:BP,lin,0.4280345534008852
cad,ig_lora,microglia,GO:BP,lin,0.4148790196130818
cad,ig_lora,oligodendrocytes,GO:BP,lin,0.4122719036649814
cad,attention_zero_shot,astrocytes,GO:BP,SimRel,0.40165218445899187
cad,attention_zero_shot,da_neurons,GO:BP,SimRel,0.3930426980977851
cad,attention_zero_shot,microglia,GO:BP,SimRel,0.4004996610227034
cad,attention_zero_shot,oligodendrocytes,GO:BP,SimRel,0.40171865859443334
cad,ig_lora,astrocytes,GO:BP,SimRel,0.381945805289583
cad,ig_lora,da_neurons,GO:BP,SimRel,0.391451306278317
cad,ig_lora,microglia,GO:BP,SimRel,0.37872911683396837
cad,ig_lora,oligodendrocytes,GO:BP,SimRel,0.37810269329000207
cad,attention_zero_shot,astrocytes,GO:BP,wang,0.38512868134375716
cad,attention_zero_shot,da_neurons,GO:BP,wang,0.3781633191444103
cad,attention_zero_shot,microglia,GO:BP,wang,0.39926637339494103
cad,attention_zero_shot,oligodendrocytes,GO:BP,wang,0.3792516860831689
cad,ig_lora,astrocytes,GO:BP,wang,0.37551512230409406
cad,ig_lora,da_neurons,GO:BP,wang,0.38586126045042185
cad,ig_lora,microglia,GO:BP,wang,0.3613820062505756
cad,ig_lora,oligodendrocytes,GO:BP,wang,0.37447111579232906
cad,attention_zero_shot,astrocytes,GO:CC,lin,0.7597398097946503
cad,attention_zero_shot,da_neurons,GO:CC,lin,0.7406098467563916
cad,attention_zero_shot,microglia,GO:CC,lin,0.7321041833782616
cad,attention_zero_shot,oligodendrocytes,GO:CC,lin,0.7545446180742654
cad,ig_lora,astrocytes,GO:CC,lin,0.7441291897775623
cad,ig_lora,da_neurons,GO:CC,lin,0.7533400012413328
cad,ig_lora,microglia,GO:CC,lin,0.7288121396106462
cad,ig_lora,oligodendrocytes,GO:CC,lin,0.7699416536055546
cad,attention_zero_shot,astrocytes,GO:CC,SimRel,0.6289751182994509
cad,attention_zero_shot,da_neurons,GO:CC,SimRel,0.6179622796316118
cad,attention_zero_shot,microglia,GO:CC,SimRel,0.6110952543510207
cad,attention_zero_shot,oligodendrocytes,GO:CC,SimRel,0.6337188279260686
cad,ig_lora,astrocytes,GO:CC,SimRel,0.6205802696834027
cad,ig_lora,da_neurons,GO:CC,SimRel,0.6289505444597072
cad,ig_lora,microglia,GO:CC,SimRel,0.6091952143541353
cad,ig_lora,oligodendrocytes,GO:CC,SimRel,0.6476679337003145
cad,attention_zero_shot,astrocytes,GO:CC,wang,0.8108467526219895
cad,attention_zero_shot,da_neurons,GO:CC,wang,0.7976933491376134
cad,attention_zero_shot,microglia,GO:CC,wang,0.7822310668410315
cad,attention_zero_shot,oligodendrocytes,GO:CC,wang,0.8029723248698318
cad,ig_lora,astrocytes,GO:CC,wang,0.7917973593491957
cad,ig_lora,da_neurons,GO:CC,wang,0.8040394333207729
cad,ig_lora,microglia,GO:CC,wang,0.788293210069256
cad,ig_lora,oligodendrocytes,GO:CC,wang,0.8116184807681764
