source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0007159,leukocyte cell-cell adhesion,0.01608021137922481,True,"""The attachment of a leukocyte to another cell via adhesion molecules."" [GOC:go_curators]",335,26,6,16180,0.23076923076923078,0.01791044776119403,query_1,['GO:0098609']
GO:BP,GO:0051240,positive regulation of multicellular organismal process,0.01863586985744426,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1270,26,10,16180,0.38461538461538464,0.007874015748031496,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:CC,GO:0009897,external side of plasma membrane,0.022601000796738283,True,"""The leaflet of the plasma membrane that faces away from the cytoplasm and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos, GOC:tb]",329,26,5,17154,0.19230769230769232,0.015197568389057751,query_1,"['GO:0005886', 'GO:0009986', 'GO:0098552']"
GO:MF,GO:0140375,immune receptor activity,0.027272252070845167,True,"""Receiving a signal and transmitting it in a cell to initiate an immune response."" [PMID:31415752, Wikipedia:Immune_receptor]",149,27,4,17354,0.14814814814814814,0.026845637583892617,query_1,['GO:0038023']
GO:BP,GO:0045578,negative regulation of B cell differentiation,0.03257470459529213,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of B cell differentiation."" [GOC:go_curators]",5,26,2,16180,0.07692307692307693,0.4,query_1,"['GO:0030183', 'GO:0045577', 'GO:0045620', 'GO:0050869']"
GO:BP,GO:0043335,protein unfolding,0.03257470459529213,True,"""The process of assisting in the disassembly of non-covalent linkages in a protein or protein aggregate, often where the proteins are in a non-functional or denatured state."" [GOC:mlg]",5,26,2,16180,0.07692307692307693,0.4,query_1,['GO:0009987']
GO:BP,GO:0051241,negative regulation of multicellular organismal process,0.034679025352265455,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",809,26,8,16180,0.3076923076923077,0.009888751545117428,query_1,"['GO:0032501', 'GO:0048519', 'GO:0051239']"
GO:BP,GO:0051250,negative regulation of lymphocyte activation,0.03940379168266291,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of lymphocyte activation."" [GOC:ai]",113,26,4,16180,0.15384615384615385,0.035398230088495575,query_1,"['GO:0002695', 'GO:0046649', 'GO:0051249']"
GO:MF,GO:0004875,complement receptor activity,0.044134502337630416,True,"""Combining with any component or product of the complement cascade and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity."" [GOC:add, GOC:ai, GOC:pg, GOC:signaling, ISBN:0781735149, PMID:11884446]",11,27,2,17354,0.07407407407407407,0.18181818181818182,query_1,"['GO:0004888', 'GO:0140375']"
