source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0071944,cell periphery,0.005082602937521762,True,"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",5274,29,20,17154,0.6896551724137931,0.0037921880925293893,query_1,['GO:0110165']
GO:MF,GO:0031730,CCR5 chemokine receptor binding,0.009142867286108173,True,"""Binding to a CCR5 chemokine receptor."" [GOC:mah, GOC:nln]",5,29,2,17354,0.06896551724137931,0.4,query_1,['GO:0048020']
GO:CC,GO:0005886,plasma membrane,0.009826506118117546,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",4974,29,19,17154,0.6551724137931034,0.0038198632891033374,query_1,"['GO:0016020', 'GO:0071944']"
GO:MF,GO:0031726,CCR1 chemokine receptor binding,0.013700078174076463,True,"""Binding to a CCR1 chemokine receptor."" [GOC:mah, GOC:nln]",6,29,2,17354,0.06896551724137931,0.3333333333333333,query_1,['GO:0048020']
REAC,REAC:R-HSA-1250342,PI3K events in ERBB4 signaling,0.04467993561668813,True,PI3K events in ERBB4 signaling,9,22,2,11056,0.09090909090909091,0.2222222222222222,query_1,['REAC:R-HSA-1236394']
GO:BP,GO:2000503,positive regulation of natural killer cell chemotaxis,0.049863626216625836,True,"""Any process that activates or increases the frequency, rate or extent of natural killer cell chemotaxis."" [GOC:BHF]",5,29,2,16180,0.06896551724137931,0.4,query_1,"['GO:0035747', 'GO:0140131', 'GO:2000501']"
