source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0005788,endoplasmic reticulum lumen,0.012671314171730251,True,"""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]",291,26,5,17154,0.19230769230769232,0.01718213058419244,query_1,"['GO:0005783', 'GO:0070013']"
REAC,REAC:R-HSA-8957275,Post-translational protein phosphorylation,0.017562325745833367,True,Post-translational protein phosphorylation,107,22,4,11056,0.18181818181818182,0.037383177570093455,query_1,['REAC:R-HSA-597592']
KEGG,KEGG:04933,AGE-RAGE signaling pathway in diabetic complications,0.022738656325951248,True,AGE-RAGE signaling pathway in diabetic complications,101,13,3,8716,0.23076923076923078,0.0297029702970297,query_1,['KEGG:00000']
KEGG,KEGG:05146,Amoebiasis,0.023407474383359536,True,Amoebiasis,102,13,3,8716,0.23076923076923078,0.029411764705882353,query_1,['KEGG:00000']
REAC,REAC:R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.031224459624279208,True,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),124,22,4,11056,0.18181818181818182,0.03225806451612903,query_1,['REAC:R-HSA-392499']
GO:MF,GO:0005201,extracellular matrix structural constituent,0.0433971901422808,True,"""The action of a molecule that contributes to the structural integrity of the extracellular matrix."" [GOC:mah]",168,27,4,17354,0.14814814814814814,0.023809523809523808,query_1,['GO:0005198']
GO:BP,GO:0010641,positive regulation of platelet-derived growth factor receptor signaling pathway,0.04881374367448111,True,"""Any process that increases the frequency, rate or extent of the platelet-derived growth factor receptor signaling pathway."" [GOC:dph, GOC:hjd, GOC:tb]",6,26,2,16180,0.07692307692307693,0.3333333333333333,query_1,"['GO:0009967', 'GO:0010640', 'GO:0048008']"
