rank,gene,attention_score,predicted_attention,residual_attention,residual_zscore,expression_mean,expression_variance,dropout_rate
589,CHST2,0.0019428207278806564,0.006357383017998965,-0.004414562290118308,-0.22986079831506304,0.15193407088036834,0.44668233103635957,0.947296090153233
882,CHST8,-0.014483683629060273,0.006328655921078041,-0.020812339550138316,-1.083672778727677,0.12009065306856856,0.350880948929978,0.9580155294441008
382,FNTB,0.011464517772532878,0.006277031129082619,0.005187486643450259,0.2701060134050641,0.46854033048429394,1.3165865296597903,0.8501339929911358
534,ARHGEF26,0.004449903203191441,0.006253860482116443,-0.0018039572789250021,-0.09392982429722647,0.10322040570729948,0.31025422784295653,0.9643372500515358
708,CLMP,-0.0035703596224810896,0.006253110845328934,-0.009823470467810024,-0.5114959571438585,0.0898049133754728,0.267853965956185,0.9687349687349688
847,CP,-0.011945121662413904,0.006234958204432275,-0.01818007986684618,-0.9466142727171376,0.08629438814314086,0.2590223012620713,0.9701092558235416
126,SRGAP2C,0.0266570218516472,0.006225155486334181,0.02043186636531302,1.0638620105803578,0.4269165410837909,1.2232064866892138,0.8631897203325775
819,SVIL,-0.010434114790662474,0.006210111552237132,-0.016644226342899606,-0.8666442793387231,0.09109677000447543,0.2767096512896374,0.968872397443826
348,SNED1,0.01273353756055462,0.00620898949769759,0.006524548062857029,0.33972514777520635,0.11236235084485445,0.34233534831556717,0.962000962000962
673,RASGEF1C,-0.001665517768390412,0.006202727403369218,-0.00786824517175963,-0.40968979429007735,0.3096001472277559,0.9191033651211271,0.8994021851164709
610,ARHGAP28,0.0009715620626982169,0.006198133553400573,-0.0052265714907023565,-0.27214111305956784,0.08516351994033497,0.2601803260800632,0.9709338280766853
471,NAMPT,0.006912918724560457,0.006196377948473759,0.0007165407760866983,0.03730939196061503,0.34637378926568246,1.0147153377579106,0.8882704596990312
706,GNB4,-0.0035548129150656527,0.006182910544580176,-0.009737723459645829,-0.5070312164845481,0.11751836824751777,0.36409999988817476,0.9605579605579606
183,USH1C,0.022103801174080284,0.006175633188602418,0.015928167985477866,0.8293600063213097,0.24522555412934596,0.7392813169408415,0.9200164914450628
821,ZNF98,-0.010530296519363491,0.00616434284842321,-0.0166946393677867,-0.8692692231914724,0.11009387534969205,0.3405710275494272,0.9633065347351062
974,TRDN,-0.02800287154910075,0.006163393702507958,-0.03416626525160871,-1.7789951732606435,0.0377343320876436,0.11446642330212284,0.9868755583041298
858,TMC1,-0.013319341060556378,0.006158715467606587,-0.019478056528162965,-1.0141983120753406,0.03404025137158806,0.10414277298327058,0.9881124166838453
816,DEPDC1B,-0.010091309967528161,0.006157418875045252,-0.016248728842573414,-0.8460512136660325,0.18414889778609034,0.5627664977897081,0.9396687968116539
462,KCNK12,0.0069899462339158,0.006157132507122369,0.000832813726793431,0.043363580692241485,0.24922883282969815,0.7548286228711713,0.9189170617742046
508,ARHGEF4,0.005333555924891598,0.006156804201082342,-0.0008232482761907443,-0.04286551951034741,0.3008180740100251,0.9009419358069894,0.9027004741290455
347,LRCH1,0.01268390719432766,0.006155836898392162,0.006528070295935497,0.3399085460951441,0.15512456326150154,0.4809574530592048,0.948807805950663
