source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0042063,gliogenesis,0.006293594338455474,True,"""The process that results in the generation of glial cells. This includes the production of glial progenitors and their differentiation into mature glia."" [GOC:dgh, GOC:jid]",151,27,5,16180,0.18518518518518517,0.033112582781456956,query_1,['GO:0022008']
GO:MF,GO:0031730,CCR5 chemokine receptor binding,0.009134715945874611,True,"""Binding to a CCR5 chemokine receptor."" [GOC:mah, GOC:nln]",5,28,2,17354,0.07142857142857142,0.4,query_1,['GO:0048020']
GO:MF,GO:0031726,CCR1 chemokine receptor binding,0.013688389945356098,True,"""Binding to a CCR1 chemokine receptor."" [GOC:mah, GOC:nln]",6,28,2,17354,0.07142857142857142,0.3333333333333333,query_1,['GO:0048020']
GO:BP,GO:0051240,positive regulation of multicellular organismal process,0.029051759346931993,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1270,27,10,16180,0.37037037037037035,0.007874015748031496,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:BP,GO:2000503,positive regulation of natural killer cell chemotaxis,0.03713056901014038,True,"""Any process that activates or increases the frequency, rate or extent of natural killer cell chemotaxis."" [GOC:BHF]",5,27,2,16180,0.07407407407407407,0.4,query_1,"['GO:0035747', 'GO:0140131', 'GO:2000501']"
GO:BP,GO:0045685,regulation of glial cell differentiation,0.04306042326604117,True,"""Any process that modulates the frequency, rate or extent of glia cell differentiation."" [GOC:go_curators]",37,27,3,16180,0.1111111111111111,0.08108108108108109,query_1,"['GO:0010001', 'GO:0045595']"
GO:BP,GO:0010001,glial cell differentiation,0.04527510213516197,True,"""The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."" [GOC:go_curators, GOC:mtg_sensu]",111,27,4,16180,0.14814814814814814,0.036036036036036036,query_1,"['GO:0030154', 'GO:0042063']"
