method,gene,A1BG,ACMSD,ADAMTS20,ALAS1,ANK2,ANXA1,ARHGAP27,ASH1L,BAG3,BAP1,BARX1,BCKDK,BICD1,BIN3,BMP4,BORCS7,BST1,CA8,CACNA1B,CAMK2D,CARS2,CCDC62,CCDC82,CCNT2,CD38,CERS6,CFAP20DC,CLEC19A,CNKSR3,CNNM2,COL13A1,COL5A2,COQ7,CRHR1,CTNND1,CTSB,CYP17A1,CYP1B1,DCUN1D1,DDRGK1,DGKQ,DLG2,DMRT2,DNAH1,DPH6,DYRK1A,ELOVL7,FAM171A1,FAM200B,FAM47E,FGF10,FGF20,FNDC3B,FYN,GAK,GALC,GCH1,GPNMB,GPR65,GPRIN3,H2BC13,HASPIN,HIP1R,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HSD17B1,HYCC1,IGSF11,IGSF9B,IL1R2,INO80C,INPP5F,ISM1,ITGA8,ITIH3,ITIH4,ITPKB,KANSL1,KAT8,KLHL7,LAMP3,LDLRAD4,LRRC37A3,LRRK2,LSM7,MANEA,MAPT,MCCC1,MDGA2,MED12L,MICU3,MMRN1,MRPS30,MUC12,MYLK2,NAA11,NCKIPSD,NDUFAF2,NGEF,NISCH,NSF,NUCKS1,NUP42,OGFOD2,OR9Q1,PAQR3,PARP9,PDE10A,PDLIM2,PHF7,PKP2,PLEKHM1,PLEKHN1,PM20D1,PRAG1,PRDM15,PRDM2,PRICKLE1,PRSS53,PTPDC1,RAB25,RAB29,RAI1,REDIC1,RERE,RIT2,SATB1,SCARB2,SCN3A,SEMA5A,SETD1A,SFXN2,SH3GL2,SIPA1L2,SLC2A13,SLC39A8,SLC41A1,SLC45A3,SMARCA2,SNCA,SORBS3,SPPL2B,SPPL2C,SPTSSB,SREBF1,STAB1,STAP1,STBD1,STH,STK39,STX1B,SV2C,SYT10,SYT11,SYT17,SYT4,TAS1R2,TBC1D5,TEKT4,TIAL1,TLR9,TMC3,TMEM163,TMEM175,TMEM229B,TOX3,TPM1,TRPM2,TSHZ2,UNC13B,USP25,VPS13C,WDR41,WNT3,WNT9A,ZDHHC2,ZFP64,ZNF184,ZNF396,ZNF608,ZNF646
attention_zero_shot,RGS6,0.0,0.23771307746988968,0.2798257428186773,0.4095156076298968,0.32003436238225624,0.29631524331992287,0.649749190358473,0.14730508615383228,0.4706407633913773,0.4020009765174662,0.014125830795136204,0.2650264869589532,0.13436682491334054,0.29595733728609047,0.475004021741956,0.13767307527276276,0.2506977238793812,0.36156177088230534,0.11547069408797277,0.3772678969601821,0.10429123550851595,0.11379351453968876,0.0,0.3949385311382853,0.27551275374406137,0.26124633923615875,0.0,0.12857148758085213,0.30288076560007804,0.009652609630613481,0.1430954724654222,0.018099230657725954,0.25748797595130046,0.1314190575250417,0.41366630888939965,0.4049311387991929,0.13674517610548248,0.20294158700936857,0.391196410147893,0.25301498416161416,0.2971758464809225,0.3249380107492319,0.11092440098705446,0.09048188434781537,0.09707108161608799,0.34218119327308605,0.32068598265459203,0.1682670920000434,0.0,0.6112128320930142,0.45269946619698076,0.3839918946516999,0.43021030599953464,0.40516833497863197,0.262629148245846,0.2593344012800674,0.29422173284622605,0.41729182423995176,0.0,0.0,0.1355644751942674,0.22839075488940624,0.15003833416467938,0.15453328487977142,0.17170364986641268,0.0896105018128325,0.09335005288530389,0.1387375430396779,0.1851696939414128,0.2672477343530101,0.15756359316234886,0.0,0.13711873036871908,0.23557392880006073,0.3088383468794598,0.0,0.014593857547173216,0.4900676616045374,0.4900676616045374,0.2915866790442818,0.4223572040816357,0.23643603423748175,0.23215711656094035,0.0,0.22025580364147546,0.0,0.45158031002212246,0.39882432832726405,0.2443697999155765,0.36846998335717085,0.2129824384214884,0.0,0.2025866365008236,0.2763697206680566,0.110663544093488,0.016938320991362197,0.0,0.26579646072993224,0.334408563433431,0.39983721743833833,0.31717606985646,0.5846496513692379,0.19472418402495467,0.3388448517202162,0.10420553372190572,0.14495001084647016,0.2402182404705919,0.004861943423064692,0.10096025520002602,0.3537659823193285,0.23415029688699013,0.1525878632071528,0.24646064082805264,0.4275408718935766,0.3502982244978438,0.3944045074715178,0.2795756433421528,0.2568970815060658,0.08324721800161303,0.13276392857570357,0.31163369073155145,0.33596975292632014,0.3568774205663044,0.49379185813823945,0.3371386568518374,0.1516514439949044,0.23088152317097155,0.1968425427812984,0.4265881945791166,0.16756969626081455,0.17135506074519902,0.0,0.2547941125388135,0.3226768987648985,0.20785934894123004,0.39353376297943066,0.6917219129874967,0.1441027795387913,0.0,0.32663611976479,0.0,0.3349656780773874,0.42510947496501766,0.4703218954055031,0.37027555442388493,0.3011031781859678,0.1764532198585689,0.15555795541707054,0.13111491012669502,0.36016349897556316,0.2757827624562187,0.35523052755564705,0.3463812065614792,0.358227229097005,0.12620031900003253,0.1859898922911378,0.31571699236942824,0.4641654266298838,0.32735093012734223,0.0,0.5319475500431651,0.47300277042531863,0.32263935839378827,0.03173995908386111,0.0,0.2586105946008988,0.0977303177672805,0.4271395412308792,0.11124186389504527,0.3668448975219561,0.008344510329646377,0.3069906745747026,0.11670902266004048,0.41670522364761764,0.0,0.7001027550788594,0.46182944174805207,0.49026958509350654,0.17307529403775285,0.3548236371400664,0.02340691130903973,0.2071950018476652,0.018388831025460548,0.20143887350750395
attention_zero_shot,IL1B,0.0,0.10073954138092195,0.011971409797747351,0.34444442004785086,0.34176157214973746,0.3374034637985852,0.5510171701508181,0.011634732510130783,0.46841837298287115,0.20795044977579286,0.014047697447024384,0.1147384219406328,0.19590149180736038,0.24412540639124614,0.6587677391154263,0.12337830720226708,0.0,0.2927179567105825,0.11314437163535644,0.33526791665767497,0.01563034157529315,0.11083604308917844,0.0,0.38366132421332694,0.03844835779603598,0.15276595300475723,0.0,0.11885810319119888,0.241750952691259,0.01079592477377737,0.13069928964527963,0.024314469708494758,0.1596577956164676,0.12504102414502993,0.5062238852846561,0.18722977525799828,0.008539045352719656,0.047298930672341866,0.35229329840113416,0.2181736014929411,0.2789266801887072,0.296298684414369,0.1095132355858501,0.03510797554126443,0.011100375206050337,0.24791398774210102,0.21312953640117255,0.14154130571645102,0.0,0.5535880928922973,0.6748343584070233,0.659936308496223,0.38790986486981205,0.39566164432125667,0.1581805115743832,0.0,0.13305577117247153,0.6777219437861173,0.0,0.0,0.12529839978259602,0.10757575411267198,0.20600433044198888,0.16767474036220914,0.18009509150015057,0.15716331476959158,0.16042416907661822,0.16054020493765855,0.0660128760782907,0.21139899230946624,0.21360836067160935,0.0,0.1270863640375219,0.1869488020019109,0.08474636620747586,0.0,0.014933457723474883,0.42186330052478044,0.42186330052478044,0.18710672738216666,0.37715002121354413,0.11063404625437963,0.19157669752510062,0.0,0.18476822030601586,0.0,0.4154076277806504,0.35763281834444494,0.0,0.37104325354633466,0.13322850182641943,0.0,0.17036006566888057,0.29721010267888587,0.1088022579719036,0.016919356081494853,0.0,0.16869955129143102,0.22434865021377492,0.39065705247526256,0.29756217159008436,0.48413388308147787,0.2895877842222482,0.25794113808058056,0.10477266381626865,0.132400447218853,0.15978724425170693,0.006283928753650012,0.10281525600188923,0.2911630218335427,0.01109680748003973,0.13578272509437583,0.1571494263066874,0.4522935624046324,0.2966513536579501,0.3638577045162389,0.010453420406432417,0.163258428466169,0.01895015239680504,0.07437484055074463,0.29548836017300495,0.09870264576181366,0.16024183028735223,0.3349938624457376,0.18216016912232327,0.13375141443363533,0.1892233234489792,0.17204191947867006,0.26621429715034206,0.1529653554633835,0.15933397440516145,0.0,0.457921795110553,0.23760792521303808,0.17256812492484086,0.35038973713326527,0.5305029592433024,0.13399211189749216,0.0,0.29352674040082066,0.0,0.22198613925403718,0.4309932130511362,0.4488857206172379,0.2197333537634698,0.10617773667155779,0.1072854845237105,0.16879245356730183,0.14305852853959966,0.4275915664314384,0.23938079707381352,0.2928996266679839,0.24613382266208292,0.3533766120893289,0.11750314971644484,0.22550653351820546,0.32808852200493005,0.4524549024721433,0.33838346627397786,0.0,0.5234395018820354,0.44870966294162073,0.287807360009875,0.14668233812729306,0.0,0.21427727087950724,0.09983287365697839,0.3797445649188635,0.10939515393310463,0.35183978725488474,0.00992890354614829,0.26764820163715103,0.11376299575411886,0.2596232390744615,0.0,0.5189742026140872,0.7900051123220603,0.79274131108446,0.02677055084863455,0.305040294513052,0.020630531303098817,0.1844051843330643,0.01710201399678193,0.17277928865675113
attention_zero_shot,TMC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5829563169608406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4985264661596765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7651467060955507,0.0,0.0,0.44764006548116697,0.0,0.0,0.3328297787849815,0.6173893440947283,0.23354032552183934,0.5894243522745397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.570165436401706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082182879168308,0.0,0.5727641236289144,0.0,0.0,0.0,0.7272924385783709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attention_zero_shot,VCAN,0.0,0.17403623207865376,0.10144421573887152,0.36710200426936024,0.2593655395773742,0.3392125063499578,0.1597345989542396,0.08001550443127084,0.4223734100149697,0.20847062028144844,0.016181706151358173,0.2073409948430011,0.15883987868401583,0.25004777510696696,0.33431765111711925,0.10392582570226627,0.0,0.3572191895397439,0.25687503205275564,0.33512128721359585,0.1912930871136575,0.09276560506656008,0.0,0.2733546631142,0.02781071855238554,0.1460870178051003,0.0,0.21265229307167324,0.24824098780949722,0.16446342890922583,0.5215760239043561,0.5278418311499548,0.21267239832513596,0.11552262301287489,0.33920934527109653,0.1814749383336146,0.06278991591305298,0.07731379618157878,0.36204201228493177,0.22017188011537295,0.18499406939527932,0.2695367831675553,0.16104446572321615,0.17697732650069525,0.1457867808961022,0.2835181383709891,0.21445634786771722,0.12750673454331707,0.0,0.2183558652839047,0.2981807025888208,0.17214215343617112,0.3994004268185838,0.35494279184355326,0.2530445688519181,0.0,0.257769710795236,0.2997586137097863,0.0,0.0,0.17045105819340783,0.23110211420484633,0.21160401687707928,0.1295630032332519,0.1408293513404912,0.12902686710171402,0.16442555672215833,0.1114736264415519,0.10506407225651863,0.21325549396532004,0.12391050986888179,0.0,0.11473605251006384,0.18410091576183904,0.0674957192452841,0.0,0.12489133587181005,0.18603476178525874,0.18603476178525874,0.26149280587420537,0.3890796339600711,0.14011427554931516,0.18997477491223902,0.0,0.18214101824261517,0.0,0.41310960742215386,0.3680624573539232,0.0,0.3694311472535256,0.2798648751993865,0.0,0.16499864522829108,0.27068196837673314,0.5610894644627221,0.1340778697178262,0.0,0.24727187449278218,0.22650310761019396,0.36618673191186885,0.2676081055100314,0.2813670752837641,0.2245544938403034,0.2648044679161416,0.0880047387056597,0.23770247698027305,0.3523475581416257,0.007738498014929941,0.08314066056181302,0.18717093663775836,0.13273644649312563,0.2094947442315355,0.2527074455966892,0.3713685208715263,0.36855092484133084,0.41063808190365786,0.08165971960849118,0.1566619406859775,0.10949661104547656,0.14225469809640248,0.33795710229338427,0.07918158148744096,0.15341742980153253,0.3091565669766895,0.2942489274220791,0.23947164479615274,0.18714246957884165,0.24658834696377252,0.23773646584526575,0.14729207572939682,0.21732869566222526,0.0,0.1242319127622482,0.24058096129554976,0.16736446887439912,0.36104698741405056,0.2567907325777972,0.12503262905685508,0.0,0.30012234805786,0.0,0.2754095583311338,0.41854173646950893,0.4646326905447121,0.22158786581958972,0.09210210755589668,0.08751648480190843,0.14451619412146555,0.30988438728341056,0.2313985282956257,0.3681700883375558,0.30436355085119815,0.196491464542594,0.3247021931327365,0.09781254183742707,0.2597572064649468,0.26197610870095583,0.40324619047954857,0.3094768515835219,0.0,0.3807446731999523,0.4562103123276617,0.29447036976430613,0.029315461758303844,0.0,0.31119847440552595,0.16944003046926895,0.39227483381125594,0.09270550315689272,0.36443049826154317,0.14045719343918583,0.3282260951062437,0.22617249067797934,0.2632754269414735,0.0,0.19515523412440816,0.2206705109243811,0.1678271055038997,0.018606483465793678,0.37074370664001527,0.14925719758223863,0.24583016923544065,0.15514997701239175,0.25604066841753165
attention_zero_shot,SLC24A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454902731291935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4739724808374732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7194728632905898,0.0,0.0,0.4340090187715646,0.0,0.0,0.3632381884589268,0.7662734919520461,0.25009909147407394,0.7248489702405263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5314361654248065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46233921791737104,0.0,0.5820575973131858,0.0,0.0,0.0,0.7056165448783236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attention_zero_shot,DEPDC1B,0.0,0.0,0.0,0.0,0.04717725073897591,0.0780462716081302,0.707729008077304,0.0,0.025076226949672212,0.0,0.0,0.0,0.0,0.0,0.22905419765291068,0.0,0.0,0.0,0.0,0.00987664627608874,0.0,0.0,0.0,0.05894161842848096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025285054733105827,0.0,0.0,0.0,0.0,0.0,0.03758365819360525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29235165835211585,0.32505613016119406,0.3354529594498372,0.0,0.005345611556661633,0.0,0.0,0.0,0.1767511961364244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4807464582782189,0.4807464582782189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009176114319083151,0.0,0.0,0.0,0.0,0.0,0.0,0.2516980515839347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26452787123310395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521429679322189,0.0,0.0,0.0,0.013309180536425208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04587980136156991,0.0,0.0,0.0,0.0,0.034868649034793135,0.0,0.0,0.0,0.13010824353126146,0.0,0.0,0.0,0.4403647161369892,0.0,0.0,0.0,0.0,0.0,0.014615688835939807,0.0,0.0,0.0,0.0,0.0,0.0,0.04863604942333156,0.0,0.0,0.0671042439115917,0.0,0.0,0.0601630141173707,0.04116416755399048,0.013721389184663493,0.05586565596612993,0.0,0.06755595077101538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5656260821124768,0.2462138497192873,0.34049794763461255,0.0,0.0,0.0,0.0,0.0,0.0
attention_zero_shot,ANGPTL4,0.0,0.12233531796977243,0.015155622770854693,0.4158801651986786,0.3279531437533431,0.3786663612945054,0.38488995711115886,0.013788928459630109,0.4584213568330787,0.2434634774988107,0.0197371663855812,0.1347806789951248,0.18793011785266112,0.33087970384400067,0.4133230157016208,0.2021660921546234,0.0,0.3636115094136316,0.13853468622255855,0.40851567878792017,0.019808407293526686,0.15815427226008394,0.0,0.41255283703264106,0.1559992448753288,0.1997987489851253,0.0,0.18637408586509716,0.34551960029196865,0.01617076597425564,0.1813515057602025,0.029854807088676973,0.20568470496309033,0.15598352487392192,0.4445232562892225,0.19997236722645167,0.009311693116189918,0.047900799210659886,0.41599971596215995,0.3098379487542406,0.1864545556321472,0.37805586400226787,0.2364960186154295,0.047167673783725134,0.01487898792290971,0.29683825553520476,0.26930920778492645,0.22967838159512396,0.0,0.49630704564475003,0.3799861800680837,0.29326423335948115,0.44609958395793087,0.37312255489468105,0.19604384134920733,0.0,0.23683677724690438,0.3435503806800762,0.0,0.0,0.1757408232405243,0.12929479958258966,0.24831808058513258,0.18936435742848795,0.21164251712595714,0.11348520562717955,0.11337029109967547,0.1848800170815008,0.12616340480564114,0.3156542860966884,0.20870364598605595,0.0,0.17291738725286143,0.2886332875390539,0.18532502432971706,0.0,0.023415706697967806,0.6278903595472113,0.6278903595472113,0.2290232583034184,0.4490270117315257,0.13259181495265712,0.4260253289860114,0.0,0.2585459561250185,0.0,0.45517645167561266,0.4156036139175068,0.0,0.4463664517384585,0.16379332237004313,0.0,0.2443421500329805,0.26601902106401837,0.15819590083497503,0.026553496183448464,0.0,0.20135982209183112,0.27293192804184635,0.4183493462339338,0.35302099000438625,0.4849691614901703,0.36215802936978714,0.22884134237346623,0.14017392356118508,0.18118373886826536,0.21214939061615973,0.008664498664938432,0.1444043515390167,0.33511734593277825,0.012869008650525877,0.23454120390372596,0.2274987413421728,0.43627785143880565,0.3779612992734466,0.4064266621517493,0.012878638683882292,0.4012508512044663,0.025623736669441233,0.08540606955105347,0.3419629790381216,0.13477739476974893,0.22449255697481968,0.3133100836669466,0.219447176790493,0.20233671611342346,0.2743014418013724,0.22745557044769588,0.1870262329423924,0.19167065303962375,0.27739818416448603,0.0,0.17951755642428122,0.28249569334399793,0.25255412659667215,0.4973253438415902,0.4960791143260759,0.23575668553369244,0.0,0.34331398403100266,0.0,0.26055040382015165,0.5008195326707808,0.47715811211145664,0.3750121848483648,0.2458103578839877,0.15551237858047953,0.18031769210940224,0.1308894600309511,0.3713755573544986,0.3279985371901938,0.38840312836724283,0.23385577573079278,0.3983869711203571,0.18378735650420308,0.31184129557181445,0.44407694321308067,0.46701957784457604,0.32956480887518125,0.0,0.47143469565791524,0.480782610615566,0.3406805856098672,0.14903496892996798,0.0,0.29508048451264846,0.12192981421980546,0.44546104387356006,0.25681013504706424,0.43156481903288996,0.011370876777686834,0.3296086681336067,0.16849371382733,0.3108093843151697,0.0,0.4814404963105521,0.3875418622563687,0.39431546900989967,0.107023154126056,0.3794545151596638,0.030022748460327667,0.3082238350689341,0.027555677765190353,0.2368736718601713
attention_zero_shot,PPARGC1A,0.0,0.17366984672724559,0.027293455137027186,0.33039422055599205,0.2514277041726663,0.20351457537446657,0.05558335585145807,0.15793979838812924,0.3860416178586534,0.31911005319725705,0.41306837999937457,0.17329237354253238,0.20806871040075034,0.259023716751033,0.21829024274210518,0.2096622956598696,0.0,0.28770778875178576,0.179896434050919,0.2826781848517134,0.028363209358712567,0.5735034104039163,0.0,0.3970518589470434,0.07721504948629289,0.3258199508353832,0.0,0.2057229853839993,0.2588521257165797,0.02329447264893789,0.20184842271291042,0.04656254583963397,0.2484883680128561,0.18801170540770276,0.306702967208215,0.20542117683463706,0.02125851939088518,0.11960847934534491,0.339066205226506,0.28256837764206943,0.23898432205801406,0.302278678450139,0.5573274311470129,0.04891471266307944,0.023722841019110597,0.34671321552426737,0.2383449017953183,0.21607836044987525,0.0,0.2234532067896841,0.18388998786044625,0.07852395238158587,0.4182483245676307,0.3331664166038054,0.2045301172865249,0.0,0.1928443544777143,0.20022143108030074,0.0,0.0,0.3691225370070856,0.17441705579754685,0.1844175550804677,0.20390861433868834,0.2117512533517148,0.1708378753971231,0.16637309409443327,0.20411148208752877,0.14536982023786568,0.24438452864107668,0.21096437043680472,0.0,0.19859727082451706,0.23375527364682963,0.1713281163050097,0.0,0.03164348588689233,0.19254700621824758,0.19254700621824758,0.2202888864560018,0.3562645052174394,0.39286396645409677,0.23266763568587942,0.0,0.22825028795413424,0.0,0.385416047261989,0.41805426576961313,0.0,0.43682388532947436,0.1900491989356117,0.0,0.48833455529195813,0.05884135458929764,0.19728518945838694,0.16004978835098677,0.0,0.20636733729640383,0.24321699612078074,0.3322888136739364,0.2678038819525652,0.2385042183299214,0.21971989979121012,0.22707810458993558,0.7385306569756351,0.30673159161260644,0.21193735046848092,0.01391832031771276,0.19254700621824758,0.4569375891054862,0.02419646735281369,0.24149922840309843,0.216727887149464,0.4089737621021308,0.28984761607007187,0.34450129131390084,0.026465460923582675,0.21875412940837216,0.36692651872954735,0.489774954960102,0.2684861744705997,0.18869606609388265,0.21611336620178587,0.22089863129964668,0.21894433824044576,0.20923999359630008,0.4039354746548484,0.6021542228453791,0.20238603885611314,0.5732797153452649,0.2261335231428737,0.0,0.04696049111786312,0.41591694141329866,0.22458840017048337,0.32930142810170243,0.22026939247489713,0.23332580848943024,0.0,0.28916284217291804,0.0,0.5523527181435228,0.40112595398522793,0.42498175514093367,0.24109427139480377,0.18319191066905502,0.19655840218112774,0.6295807943707009,0.18238057425030763,0.2660091416191039,0.27626867187692317,0.28707579869993793,0.16466015323083127,0.32056817220403605,0.20510441966726373,0.09101404883283841,0.2538099073039371,0.35817900491925697,0.2230184864435482,0.0,0.3239891349254677,0.42230901441434293,0.44829592308917726,0.1536872434685618,0.0,0.24303272424845562,0.17435646231071725,0.35036808861278446,0.6258482835686915,0.3168193256642334,0.023679290468461633,0.524269511946102,0.19867796724039266,0.287105252298689,0.0,0.20707509543113045,0.20325381079250962,0.19839673554352646,0.05548722354879291,0.3940441993197511,0.3763810489367643,0.5119346185449924,0.03263347896818468,0.5187094443083035
attention_zero_shot,SEL1L3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attention_zero_shot,FRMPD2,0.0,0.1461131759190119,0.01942121174572993,0.40098401313983784,0.2688463670762407,0.37124701210238564,0.05789506616248061,0.01640487205767617,0.44375780068830567,0.26745456114165406,0.026675624959011462,0.15326114089785636,0.1849027757932041,0.4953797435224729,0.25739192159722185,0.3425720874250688,0.0,0.4116185300800414,0.16409600569622868,0.33001686574876676,0.024151435377961272,0.22479314146453538,0.0,0.3292441078369156,0.05185202735623353,0.2436390962980032,0.0,0.2976980782171782,0.43990960057010553,0.02449193602820282,0.2397497846867401,0.03243862294526387,0.2464709155753065,0.18587923862391584,0.3895892913944099,0.22250374754834315,0.010631507968523586,0.05339774554838716,0.43921584759576776,0.3282693015515347,0.10609431862939656,0.38390667742643325,0.17179388440290413,0.05476385200828336,0.019699531556531702,0.27977505241808526,0.3120403014058451,0.36574768579293465,0.0,0.3569836352550803,0.17445083997015914,0.07552978891135971,0.4791572192094927,0.3493861240520623,0.2275033401338615,0.0,0.171230696880884,0.22883909987950138,0.0,0.0,0.23713539790438065,0.15133283163597117,0.29121974618121155,0.24211295960969667,0.2793611072419577,0.1367096068420794,0.13211078215363242,0.262209184214519,0.1515737279522744,0.42368668171259943,0.3052132223136563,0.0,0.2247346123968346,0.40746376285509334,0.1302943372315778,0.0,0.03788567231317584,0.20554325245504126,0.20554325245504126,0.2606854128440135,0.4764962799379255,0.1313021013101321,0.35371527937199204,0.0,0.32974298462530205,0.0,0.4016699364749562,0.4495273350909909,0.0,0.38216756159473336,0.19135111806941718,0.0,0.3221221656588344,0.04948476406401133,0.2322575904287616,0.043421258490851836,0.0,0.22604249536746357,0.30703796789553006,0.45628643485482084,0.4291186512160559,0.3346189050660822,0.3112356929999389,0.23115061574548598,0.18590217719571733,0.2353627787594968,0.26116989980887184,0.012020076701297441,0.20554325245504126,0.18215727112335287,0.015058007432625453,0.2711304098058607,0.3061459553732453,0.4243687640089347,0.4352063659437416,0.518130419236116,0.01657498163701443,0.30737261146858724,0.032506354118963104,0.10172762960359227,0.4029031320449331,0.18685750223185568,0.2910455448964952,0.27462366784497283,0.23269635100296898,0.2960165458309649,0.36129970104826997,0.277118406489536,0.13892544098364712,0.22502291200473515,0.33433065003528545,0.0,0.06660477345317138,0.31233554914861766,0.3395531357125778,0.4865100205219951,0.3134336637346872,0.20717990925099022,0.0,0.3739015392294416,0.0,0.28616881377931314,0.4194109347928799,0.4911322419780035,0.3085377982032581,0.16937507160725662,0.2283813916167125,0.18361792294122745,0.16572255022645005,0.3522672561963417,0.34435213777161566,0.4605569518432951,0.12450439101372278,0.41802632761072417,0.29363321779291607,0.2668319341729723,0.3629570134275604,0.494145142296102,0.42237167983991974,0.0,0.4334934157994161,0.49682279131611057,0.3739304414537636,0.054731044694687224,0.0,0.36649775163351744,0.2060156611096571,0.48409116682033493,0.20267836523048266,0.41252284337118306,0.01341358599404577,0.37186511424418806,0.34986830281129155,0.3193008636586751,0.0,0.2844704222833936,0.23367202416829608,0.2342069261489077,0.0316609578048722,0.4295057946320132,0.04066590898998564,0.2678489905318325,0.044391341133096986,0.2982028150129753
