rank,gene,attention_score,predicted_attention,residual_attention,residual_zscore,expression_mean,expression_variance,dropout_rate
896,CYP4F12,-0.009256893396377586,0.009451357843501648,-0.018708251239879233,-0.9682809137179679,0.0024446387216419574,0.005688807471046116,0.9989265267175572
994,LYPD6,-0.05671686679124832,0.009451201460012139,-0.06616806825126045,-3.424653473153643,0.007409659062928523,0.018128325396515522,0.9968988549618321
999,FREM2,-0.09941100080808007,0.009449700230898127,-0.1088607010389782,-5.6342914000058535,0.00189950872017366,0.00435054577055212,0.9991650763358778
984,PAX3,-0.037668317556381226,0.009432547314065964,-0.04710086487044719,-2.4377943127279473,0.001329310397880973,0.0037206741654181225,0.9995229007633588
283,TTC29,0.01734408736228943,0.009429810058900128,0.0079142773033893,0.40961838498340886,0.003052666826353343,0.008586362781703012,0.9988072519083969
1,SPOCD1,0.1484014093875885,0.00941534138843095,0.13898606799915755,7.193486723623921,0.002731264758895605,0.008428670145827386,0.9990458015267175
26,C1orf87,0.049383255839347884,0.009402840710812736,0.039980415128535146,2.0692619740406917,0.005872593933766761,0.016877408509498495,0.9978530534351145
2,NOX4,0.09715427507956825,0.009400909475045124,0.08775336560452313,4.541841347963591,0.005652524682554176,0.01620988261642745,0.9979723282442748
993,ARHGAP28,-0.05380206661564968,0.009392348262209096,-0.06319441487785878,-3.270746420668684,0.005193678854699369,0.015610902307358274,0.9982108778625954
492,COL4A1,0.009841997515071532,0.009389696899603835,0.00045230061546769687,0.023409673496725136,0.010485930723343506,0.029036008572838307,0.9960639312977099
979,EGF,-0.035934338772218966,0.009376235051870916,-0.04531057382408988,-2.3451344148058606,0.008679698024363072,0.02515440440653637,0.9968988549618321
17,F5,0.05590104605212365,0.009369989499463244,0.046531056552660405,2.4083028059314935,0.006100249981951226,0.019336694816995133,0.9979723282442748
126,SULF1,0.027361420147559268,0.009367697726842858,0.01799372242071641,0.9312991237566504,0.008486263650631725,0.025362524908077264,0.9970181297709924
15,ARMC3,0.058766622096300125,0.009365385148806471,0.049401236947493654,2.55685441877922,0.008808339344265035,0.026337231101510806,0.9968988549618321
998,GULP1,-0.06546238121532266,0.009365048075856535,-0.07482742929117919,-3.872835075615404,0.009672407135718606,0.028613644839193965,0.9965410305343512
34,SLCO1C1,0.04292090359517342,0.00936347083706324,0.033557432758110184,1.7368283778330307,0.010646987317019529,0.030737093211860158,0.9961832061068703
981,ITGBL1,-0.03651948853746645,0.009362000033605397,-0.04588148857107185,-2.3746831869371854,0.008597288442515087,0.02585292510022557,0.9970181297709924
60,AGMO,0.036693427711725235,0.009360560441177423,0.02733286727054781,1.4146642225352566,0.010357923754945805,0.030418745885600434,0.9963024809160306
784,CLMP,-0.0020321984533909765,0.009358690683096936,-0.011390889136487913,-0.5895570034695441,0.015076259268446772,0.04223927035168146,0.9943940839694656
955,SEMA3D,-0.021921484410261927,0.00935817610800098,-0.031279660518262906,-1.6189379690844357,0.01455686175765548,0.040658240017973975,0.9946326335877863
453,ADAMTS18,0.010839975598145646,0.00935771149278641,0.0014822641053592357,0.07671738121889086,0.012458030648981237,0.03577627443934945,0.9954675572519084
29,COL8A1,0.04555537517775188,0.009353472741795705,0.036201902435956175,1.873697905782598,0.009336919029412862,0.028079716557859152,0.9967795801526718
